label	ITGB6	GALNT3	BRI3BP	MCM5	DTX3L
0	0.550406277	0.120822519	-1.124706507	-1.104589462	0.994589329
1	2.64827013	1.562080145	-0.333406568	0.384366572	2.750948191
0	0.425424099	0.794033349	-0.546346009	-0.86457032	1.128836155
1	1.456557035	1.513688326	0.111704186	0.068299383	1.752875805
0	1.117899656	0.298930764	-0.31455797	-1.004680395	1.052886844
1	0.901436567	0.896343172	-0.307829887	-0.615583062	2.139770508
0	0.39431572	0.403721511	-1.248203754	-1.009542942	1.0194484
1	3.258471966	2.329041004	0.202564657	-0.379372656	1.647342205
0	1.163851142	0.351153582	-0.675063133	-0.678247929	0.970827401
1	1.605615973	1.647360444	0.159327924	0.041400701	1.243751287
0	0.404645741	0.106791019	-1.347399235	-0.824000955	0.719313443
1	2.884025097	1.720748186	0.003176183	-0.684222519	1.441012859
0	1.543716669	0.123143733	-0.686023355	-0.7580446	0.798441291
1	4.050125122	0.870361328	0.243854493	0.105151713	1.89188087
0	1.513222456	0.178090692	-1.118381143	-0.669241428	0.924096465
1	-0.476065427	0.551485062	1.162872076	1.08080399	1.071068287
0	0.24687469	0.824594855	-0.627748013	-0.447978258	0.741014957
1	4.235836506	1.774377823	0.143886566	-0.012379348	2.2013762
0	0.663375974	0.224154234	-0.606754124	-1.003330469	0.799387991
1	2.596264362	1.481740832	0.591888547	0.311382085	2.4840734
0	0.756125033	0.301624417	-0.279788315	-0.893850684	1.190841079
1	0.604905605	1.628876567	0.192043066	0.102852866	1.297130346
0	0.902813017	0.42263335	-0.686675787	-0.821320295	0.622529745
1	2.059459448	0.632265151	0.346166134	-0.150980547	1.55861485
0	1.046852589	0.41100052	-0.477880985	-0.901578069	1.140183568
1	2.081189632	1.164485574	0.560275912	0.335932404	2.663720846
0	0.729047418	0.409003586	-0.868244648	-0.96122241	0.755310357
1	2.989871979	0.646107197	0.320559263	0.08719983	2.058451653
0	0.722022176	0.735428452	-0.856094956	-1.194998145	0.550486207
1	2.135453701	2.611057043	1.070457935	-0.199649751	1.766270161
0	0.312527716	0.391064644	-0.491808951	-1.030632019	0.524331927
1	1.011352301	0.767833471	0.280792445	-0.242812872	1.311587811
0	0.794669688	0.833927453	-1.06663847	-1.126451731	0.564464033
1	2.54434824	1.601798534	0.8086887	-0.068397656	1.878193259
0	0.083443046	0.652041197	-0.523564637	-1.385340214	0.499888062
1	1.311779022	1.215920925	0.200834155	0.260713398	1.327672839
0	0.49407956	0.894271433	-0.724332929	-1.098816752	0.597671628
1	1.766404152	1.534335256	0.116807885	0.158885777	0.944262207
0	0.827760339	-0.155089974	-0.889006019	-1.027793407	0.919185817
1	1.914542794	1.691934824	0.700158715	0.040747136	2.144188404
0	0.972652078	1.196341634	-1.067811489	-1.045639753	0.849394202
1	1.051414132	1.380659342	0.331717163	0.186892182	2.193442583
0	0.785899639	0.586000562	-0.593879938	-1.19619298	0.417544425
1	2.798596621	1.875730276	0.424590737	0.549188852	1.905841351
0	0.835159838	1.492727757	-1.051281452	-1.197061777	0.792238474
1	1.707752347	0.889712393	0.14515987	-0.017831199	1.633181214
0	1.14216876	0.112369865	-0.800746799	-0.949566722	0.812824488
1	0.427254647	0.726653278	0.546689332	-0.415025651	1.233536005
0	-0.203326046	0.33465457	-0.819830418	-1.084389925	1.093626857
1	0.934205055	1.123442054	0.320199966	-0.269546568	1.912598252
0	0.025704056	0.365649551	-0.450249165	-1.050444365	1.307223439
1	1.373470068	0.98529166	0.521483004	-0.570516944	1.60543859
0	-0.017058194	0.390535682	-0.593669534	-1.179917336	1.271166325
1	2.380794048	1.255573034	0.446386546	-0.454892248	2.151527882
0	-0.205191255	0.496008158	-0.478453994	-1.188933372	1.176956773
1	2.095681906	2.422297001	0.895461679	-0.315211505	1.916408062
0	0.042051226	0.586984515	-0.471106738	-0.998890638	1.414265513
1	1.382383585	0.651133776	0.46856004	-0.189400956	1.964579344
0	1.644516945	-0.129483461	0.228787601	-0.557008386	0.654044807
1	1.293293357	1.133715391	0.749332845	-0.065025076	1.464358807
0	0.735213757	-0.543864012	-0.371643752	-0.913669586	0.631161273
1	0.87559998	1.19293201	0.131255239	-0.125571743	1.931423903
