label	GBP1	BRI3BP	OCIAD2	DTX3L
0	0.301567942	-0.624852896	-0.811341047	0.531666219
1	2.173377991	0.837502062	1.281887889	1.263315082
0	0.126772463	-1.89505434	-0.260341108	0.644233465
1	2.731908798	0.259681135	1.928452253	2.253533363
0	0.087959051	-1.278110504	-0.951011658	1.107959986
1	-0.755057514	0.134613633	3.86460948	1.59279716
0	0.205442488	-1.328728437	-0.035948634	0.807080448
1	-0.458022505	2.063899279	3.272366524	0.788036942
0	0.403311014	-1.477745056	-0.131670296	1.020098329
1	2.669964552	-0.070045412	1.505615711	2.497994661
0	0.413139343	-0.488236964	-0.052490294	1.258968353
1	2.114150047	0.333823889	1.665232539	1.926936984
0	0.384359837	-0.739682794	0.116785824	0.865483284
1	2.243545055	0.555720091	0.697913885	2.007889986
0	0.366078883	-0.254310191	0.127274871	0.607928336
1	2.40071249	0.048163846	1.296871543	2.369068623
0	0.353792518	-0.643934369	0.226427853	0.761635005
1	2.221043587	0.041265011	1.439111352	2.0050807
0	0.84837687	-0.625897288	0.382189423	1.088836193
1	1.283720016	0.896395206	0.508413851	1.033014774
0	0.581789017	-0.479235411	0.645221889	1.011683583
1	2.446344852	0.670699954	1.835660696	1.99517858
0	0.795945466	-1.124706507	-0.266518325	0.994589329
1	3.24666214	-0.333406568	1.958654404	2.750948191
0	0.590989649	-0.546346009	0.188464224	1.128836155
1	1.063365459	0.111704186	0.963472724	1.752875805
0	0.602861524	-0.31455797	-0.083965123	1.052886844
1	3.114400864	-0.307829887	0.416052133	2.139770508
0	0.565638363	-1.248203754	-0.149873495	1.0194484
1	1.194156885	0.202564657	1.52886045	1.647342205
0	0.509058595	-0.675063133	0.516555548	0.970827401
1	1.321583867	0.159327924	1.784143329	1.243751287
0	0.109542787	-1.347399235	0.047433853	0.719313443
1	0.58903712	0.003176183	1.03651011	1.441012859
0	0.53580761	-0.686023355	0.117897332	0.798441291
1	2.786482334	0.243854493	0.855817556	1.89188087
0	0.481281877	-1.118381143	0.089312494	0.924096465
1	-0.02724278	1.162872076	0.677820444	1.071068287
0	0.379934311	-0.627748013	1.050057173	0.741014957
1	2.979417801	0.143886566	0.69266057	2.2013762
0	0.738546431	-0.606754124	-1.029550076	0.799387991
1	2.413174629	0.591888547	0.419159353	2.4840734
0	0.359190762	-0.279788315	-0.476959825	1.190841079
1	1.44436276	0.192043066	0.15495117	1.297130346
0	0.123595834	-0.686675787	-0.543532968	0.622529745
1	0.422631621	0.346166134	0.745298564	1.55861485
0	0.193742424	-0.477880985	-0.504157901	1.140183568
1	1.526116729	0.560275912	0.18812488	2.663720846
0	0.621812582	-0.868244648	-0.866920114	0.755310357
1	1.843346834	0.320559263	0.970001996	2.058451653
0	0.036712736	-0.856094956	-0.415420681	0.550486207
1	2.416137934	1.070457935	-0.011560708	1.766270161
0	0.478281677	-0.491808951	-0.55915159	0.524331927
1	0.920353651	0.280792445	0.071210131	1.311587811
0	0.384593427	-1.06663847	-0.326688349	0.564464033
1	1.392742634	0.8086887	-0.021582533	1.878193259
0	0.343504965	-0.523564637	-0.417405725	0.499888062
1	1.100712895	0.200834155	0.008014225	1.327672839
0	0.447352767	-0.724332929	-0.483498603	0.597671628
1	1.013625026	0.116807885	-0.248045981	0.944262207
0	0.50947845	-0.889006019	-0.506065369	0.919185817
1	2.308209896	0.700158715	0.801344991	2.144188404
0	0.043742985	-1.067811489	-0.198867351	0.849394202
1	1.706384897	0.331717163	0.567514241	2.193442583
0	0.208225667	-0.593879938	-0.151465237	0.417544425
1	2.521174669	0.424590737	0.983790576	1.905841351
0	0.06496954	-1.051281452	0.059910178	0.792238474
1	2.876107693	0.14515987	0.144162446	1.633181214
0	0.375299007	-0.800746799	0.005877048	0.812824488
1	1.867348671	0.546689332	0.074601278	1.233536005
0	0.198325217	-0.819830418	0.347090006	1.093626857
1	1.431319952	0.320199966	0.38713032	1.912598252
0	0.476454496	-0.450249165	0.171996087	1.307223439
1	1.169369578	0.521483004	0.888271928	1.60543859
