label	ITGB6	MCM6	HIST1H2BL	PARP9
1	2.874352455	0.089630783	-0.434122264	2.473054886
0	0.220656335	-1.008377314	-1.449072838	0.7480582
1	1.354855537	0.461796254	-0.869527817	1.832127929
0	0.838611662	-0.955070376	-1.565714359	0.922137916
1	3.77302289	-0.015599549	-1.954799771	1.526002884
0	1.468236208	-1.072782159	-1.408359528	0.796373665
1	1.919324398	-0.067267865	0.543790698	1.692297101
0	1.166551948	-0.96260643	-1.672707915	0.638991773
1	3.39774704	0.512622833	0.336467654	1.521446466
0	1.349768162	-0.926392794	-1.418153524	0.878232896
1	2.259754419	0.457456738	-0.048555933	0.907434821
0	1.165034175	-0.776426017	-1.181013942	1.073739171
1	1.826550722	0.009764731	-0.868008971	1.576397657
0	0.550406277	-1.787558556	-2.246192932	0.733079433
1	2.64827013	0.444868684	-1.263130307	2.619680166
0	0.425424099	-1.241855621	-2.28177309	0.983291388
1	1.456557035	-0.12265265	-0.359094769	1.649263382
0	1.117899656	-2.014533043	-2.455458641	0.715247393
1	0.901436567	-0.782494545	-1.153713465	2.057880402
0	0.39431572	-1.965905428	-2.74424696	0.712331057
1	3.258471966	0.337473929	-1.100970507	1.523187876
0	1.163851142	-1.934663653	-2.159636021	0.735099554
1	1.605615973	0.458565623	-0.653655529	1.165080786
0	0.404645741	-1.13834095	-1.420550823	0.785357416
1	2.884025097	-0.828792155	-0.587853014	1.740025043
0	1.543716669	-1.038027644	-1.195181966	0.681212783
1	4.050125122	0.013145745	-0.459939033	1.784974933
0	1.513222456	-0.982580066	-1.523537755	0.964486122
1	-0.476065427	1.022075653	-2.330797672	0.882884264
0	0.24687469	-0.730091691	-1.507157564	1.072958469
1	4.235836506	-0.125952348	-0.641593456	2.277579069
0	0.663375974	-1.099443913	-0.982995927	0.508479595
1	2.596264362	0.192360923	0.091175444	0.965737045
0	0.756125033	-1.008490443	-0.69318819	0.515106857
1	0.604905605	0.096962631	0.098202273	0.352825165
0	0.902813017	-0.942672849	-0.890135407	0.563991666
1	2.059459448	-0.399911702	-0.123781756	0.539748013
0	1.046852589	-0.611181736	-0.733317733	0.479582369
1	2.081189632	0.26465112	0.368357241	1.299185634
0	0.729047418	-1.002580643	-0.918034792	0.390408427
1	2.989871979	0.142917052	0.100473851	0.969919622
0	0.722022176	-0.409471899	-1.898978829	-0.064127058
1	2.135453701	-0.198873162	-0.264345884	0.947861552
0	0.312527716	-0.870254099	-1.45778966	-0.070411146
1	1.011352301	-0.26111865	-1.175684333	0.623639226
0	0.794669688	-0.828856528	-1.761574268	0.029655635
1	2.54434824	-0.113145009	-0.456132919	1.15114665
0	0.083443046	-1.10903573	-1.972205162	-0.112648308
