label	MCM2	MCM3	BRI3BP	OCIAD2	DCUN1D1
0	-1.069245696	-1.180390239	-0.683115363	-0.383489847	-1.266437531
1	-0.080282278	-0.012800626	0.741181135	0.963316977	-0.127438456
0	-0.997457504	-1.006943583	-0.61601305	-0.04943797	-0.725136161
1	0.1467994	0.1668704	1.536605835	1.273130774	0.528353035
0	-0.96568042	-1.041958094	-0.510350049	-0.089469492	-0.609486878
1	0.321228594	0.276840687	0.328060389	2.296308756	0.550489306
0	-1.377399087	-1.279806972	-0.92298162	-0.435073614	-1.106816411
1	-0.641354799	-0.671197891	0.155942455	0.607767463	0.053347796
0	-1.02198565	-0.95987916	-0.455829978	-0.034158513	-1.176618338
1	0.434933066	0.37432915	0.658993959	0.460168779	0.267044216
0	-1.373160839	-1.45653677	-0.737073898	-0.581253529	-0.797599673
1	-1.888281107	-1.745903373	0.262508541	2.642161846	-0.068901844
0	-1.79169178	-1.808247328	-0.667892575	-0.800789118	-0.469483614
1	-0.173488915	-0.247598499	0.073557049	1.202231407	0.334541023
0	-1.782359838	-1.498035669	-0.515180171	-1.016468525	-0.433628976
1	0.107468762	0.055489842	0.613389671	0.788358152	0.207174316
0	-1.746452808	-1.880973816	-0.641736686	-0.814409196	-0.463371456
1	0.110188544	0.093617499	0.678164124	1.05449903	1.115441203
0	-0.320504367	0.059428409	-0.364675879	0.548456788	-0.083925873
1	-0.362477273	-0.401094288	0.278053701	0.477272362	0.147401497
0	-1.670580506	-1.791166663	-0.624852896	-0.811341047	-0.533483028
1	-0.863268375	-1.031638265	0.837502062	1.281887889	-0.097563498
0	-1.359622002	-1.574149132	-1.89505434	-0.260341108	-0.835050881
1	0.134951904	0.022705361	0.259681135	1.928452253	0.403814554
0	-1.140657663	-1.642643929	-1.278110504	-0.951011658	-0.764650583
1	-1.878564119	-2.19528389	0.134613633	3.86460948	-0.198033974
0	-1.227340937	-1.429507971	-1.328728437	-0.035948634	-0.455451667
1	0.164194912	-0.030556276	2.063899279	3.272366524	-0.046182513
0	-1.308212042	-1.571196556	-1.477745056	-0.131670296	-0.815936029
1	0.05104202	-0.121836036	-0.070045412	1.505615711	0.551856995
0	-1.144349813	-1.491089821	-0.488236964	-0.052490294	-0.430614769
1	0.288010478	0.231880426	0.333823889	1.665232539	0.165797994
0	-1.602963686	-1.445527077	-0.739682794	0.116785824	-0.585685492
1	-0.001505569	-0.047273755	0.555720091	0.697913885	0.01762028
0	-1.514603853	-1.391731262	-0.254310191	0.127274871	-0.138867557
1	-0.213026077	-0.161001772	0.048163846	1.296871543	0.286757171
0	-1.552765727	-1.315660357	-0.643934369	0.226427853	-0.354245543
1	0.299689651	0.472657025	0.041265011	1.439111352	0.554539919
0	-1.490906	-1.185646057	-0.625897288	0.382189423	-0.824717522
1	0.475550622	0.36959821	0.896395206	0.508413851	0.392335892
0	-1.36952281	-1.029780746	-0.479235411	0.645221889	-0.746215522
1	-0.411503345	-0.367915899	0.670699954	1.835660696	0.139762014
0	-1.292793512	-1.181124449	-1.124706507	-0.266518325	-0.197765797
1	0.585154891	0.490459144	-0.333406568	1.958654404	0.709371507
0	-0.925329268	-0.886033475	-0.546346009	0.188464224	0.107175052
1	0.041088641	0.131824389	0.111704186	0.963472724	1.259907961
0	-1.171304703	-0.949578822	-0.31455797	-0.083965123	-0.531877935
