label	ITGB6	TAPBP	SLC1A5	DSG2	PCNA
0	0.220656335	2.216605425	-0.778404176	-0.469170868	-1.17149806
1	1.354855537	4.114820957	0.213595688	-0.108358786	0.594874382
0	0.838611662	0.551520586	-0.033291578	-0.409205079	-1.695406437
1	3.77302289	2.576301813	0.284689903	1.622325063	0.25343138
0	1.468236208	0.825503707	-0.325404882	-0.074775279	-1.604228735
1	1.919324398	2.822438478	0.406655192	0.69702059	-0.222420812
0	1.166551948	0.626835763	-0.348918676	-0.302095532	-1.649631143
1	3.39774704	2.496433496	-0.662852824	0.844869137	-0.085452631
0	1.349768162	1.057978392	-0.762286663	-0.386292428	-1.577664375
1	2.259754419	1.631106973	1.147533774	0.980456829	0.796514392
0	1.165034175	1.415796399	-0.734222949	-0.618242323	-1.393775105
1	1.826550722	2.953146696	0.485684633	0.758047938	-0.217253834
0	0.550406277	1.180635929	-1.358984947	-1.481980324	-1.10167551
1	2.64827013	2.95720768	0.500167608	-0.012711078	0.207674369
0	0.425424099	1.282387018	-0.020347953	-0.844953239	-0.729652584
1	1.456557035	2.276283979	0.951034188	0.191337287	0.329567015
0	1.117899656	1.156590462	-0.552047551	-0.693023622	-0.685486853
1	0.901436567	3.317192316	0.219038263	-0.429692358	-0.305856198
0	0.39431572	0.726740718	-0.749073029	-1.141780615	-1.161834478
1	3.258471966	1.807613134	0.213470623	0.180140704	-0.281357348
0	1.163851142	0.911969662	-1.318624616	-0.744514346	-0.788303971
1	1.605615973	1.372439861	0.600989282	0.416164637	-0.358930856
0	0.404645741	0.705731153	-0.820552707	-0.383405685	-1.315433025
1	2.884025097	1.67526269	-0.231452763	-0.087901056	-0.729221046
0	1.543716669	0.795733571	-0.184262514	-0.292731404	-1.331436753
1	4.050125122	2.510072708	0.369683385	0.041791469	0.583407879
0	1.513222456	0.76336211	-0.719731688	-0.297370911	-1.136242747
1	-0.476065427	0.914876819	-0.364760876	0.80990386	0.224176124
0	0.24687469	0.916545808	-1.023355961	-0.133175611	-1.018575191
1	4.235836506	2.598627806	-0.365063369	1.067944407	-0.339104533
0	0.663375974	0.988290548	-0.411929309	-0.741659343	-1.094705582
1	2.596264362	2.779621124	0.372197509	0.370285422	0.228859857
0	0.756125033	1.295365453	-0.337019145	-0.486379623	-0.891454101
1	0.604905605	1.860164046	1.914988399	1.771869421	0.534398913
0	0.902813017	0.837418854	-0.570908189	-0.452958107	-0.749860406
1	2.059459448	1.406944752	0.137529939	-0.059192166	-0.345544636
0	1.046852589	0.924338579	-0.268838316	-0.54833436	-0.878305197
1	2.081189632	2.003752947	-0.036202963	0.178936675	-0.159120977
