label	DHCR24	SLC16A3	SERPINB5	RBM8A	EPCAM
0	-0.630765021	-2.063892126	-1.323883533	-1.254154921	0.992103279
1	1.331302881	-1.345475316	0.928597867	0.248216197	1.727372646
0	-1.066235542	-1.293236256	-1.290727615	-0.616713047	0.794823825
1	0.522594154	0.443427652	0.550131917	-0.203690022	5.121782303
0	-0.09886229	-1.844071984	-0.798520803	-1.490424752	1.706497312
1	0.992043257	-0.733702183	0.900412202	-0.165131077	0.913833559
0	0.073953182	-1.678224683	-0.061326712	-0.671516776	1.464060903
1	0.12962921	-1.253795862	1.563589692	0.004253607	1.916024208
0	-0.095408082	-2.270503283	-0.279199958	-1.117165089	0.727884293
1	0.720925331	-1.45241344	1.580221534	-0.10120815	1.867461443
0	-0.442126423	-1.85980022	0.390560895	-0.873848319	0.51102221
1	0.686882854	-0.204836071	0.936368942	0.213290721	2.226081133
0	-0.711970627	-1.963525772	0.553418934	-0.579161346	0.69734025
1	0.629466534	-0.819741607	0.623040438	-0.188336462	1.354218245
0	-0.556485713	-1.654561996	0.251486659	-0.907674491	0.388186663
1	0.75262326	-0.486879975	1.09467864	-0.194013998	2.264341354
0	-0.292149961	-1.997273684	0.414999902	-0.561171234	0.777339578
1	0.260700673	-1.459229469	1.345120192	-0.092195228	2.133975029
0	-0.13138321	-1.822319388	0.528894663	-0.763525963	0.197174639
1	0.744569421	-0.659603	1.963746667	0.189370498	1.368994236
0	-1.695539474	-1.610453367	-0.440804839	-0.886745453	1.080204487
1	0.101576969	-1.30269742	0.172880292	0.049537867	3.23997736
0	-1.868723869	-1.499311924	-1.096018791	-0.967002153	3.453029633
1	0.004721135	-0.267609596	1.27175808	-0.340334773	1.951394796
0	-2.076495409	-1.947627306	-1.127374291	-0.869621873	3.314294815
1	0.233563215	-0.368072063	0.904728293	0.428580254	3.896513939
0	-1.599879861	-1.432480931	-1.209117413	-0.501572728	3.072036743
1	-0.864253163	-1.016859412	0.080106556	-0.134011596	1.390929699
0	-0.945278287	-1.554166555	-0.553928614	-1.126288891	0.41489026
1	0.182562321	-1.34782064	1.378912807	-0.128771037	2.052642584
0	-0.937214971	-2.09939003	0.199331582	-0.700903893	0.548700213
1	-0.116343275	-1.054677963	-0.57185334	-0.00416334	2.639188051
0	-1.385198355	-1.941325903	-0.881244302	-1.31979537	0.538500547
1	0.557544112	-0.809431434	0.803121984	-0.240818366	1.642358541
0	-1.013909817	-1.969480991	-0.410357714	-1.093895316	0.681068122
1	-0.030665211	-0.16905579	1.898046255	-0.442315847	1.170702815
0	-1.42196548	-1.528423667	-0.760339379	-0.991138339	0.630355835
1	1.071152568	-0.368987411	1.026167035	0.266305536	2.878396273
0	-1.079177618	-1.646326303	-0.753935575	-1.130439997	0.549652815
1	-0.058925465	-0.572010398	0.115253963	-0.01320751	1.176759481
0	-0.420805216	-1.6877563	-0.558932662	-1.079229832	0.283916712
