label	ABRACL	MCM3	HIST1H2BK	OCIAD2	U2AF1L5
1	1.329070926	-0.534933507	-0.841923356	0.074601278	-0.509739041
0	-0.580153584	-0.86515975	-2.033304453	0.347090006	-0.611460924
1	1.492625713	-0.370795786	0.75520426	0.38713032	0.075062402
0	-0.747549534	-0.811436176	-2.007947445	0.171996087	-0.679257512
1	1.572982192	-0.48088944	-0.044144481	0.888271928	-0.27657938
0	-1.495695829	-1.022931099	-2.027267933	0.18700099	-0.888744593
1	0.434547067	-0.50954783	-1.025952101	1.328198552	-0.248536259
0	0.208841622	-1.027090669	-2.359308243	0.291175574	-0.804518342
1	1.078710437	0.114565849	-2.542459965	1.359796286	-0.246873409
0	-0.498682231	-1.043087244	-2.106743097	0.084361702	-0.879322529
1	1.56686151	-0.261719227	0.937967539	0.143462315	0.092763998
0	-0.342695713	-0.84609127	-1.328592777	-1.052128315	-2.433609962
1	1.061568975	-0.331724942	-2.658604145	0.056070253	-0.73738271
0	-0.953574777	-1.275958776	-2.113260508	-0.423790306	-1.295575142
1	1.215447068	-0.444578767	-2.160603523	1.108554602	-0.902703345
0	-0.597955585	-1.06913054	-3.010459423	-0.463075638	-2.153439999
1	-0.155420721	0.023372915	-1.084698796	1.261803031	-0.550012112
0	0.252763391	-1.228274703	-2.149899006	-0.158960104	-2.008667946
1	1.313474894	-0.106255218	-1.578472853	0.760209799	-0.520604789
0	-0.343020439	-1.010255933	-2.522964478	-0.406131864	-2.140205383
1	1.271914601	-0.865450144	-0.119312495	0.286506414	-0.426098675
0	0.557646394	-0.950996757	-1.60827744	0.246952444	-1.075458407
1	0.655871391	0.349541724	-1.278890133	1.835121274	0.497653037
0	0.679157555	-0.997641325	-2.07635355	0.115234911	-1.54349649
1	0.718190372	-0.209690571	-1.429225445	0.36703521	-0.222672105
0	0.679583371	-1.061978102	-1.799004793	0.258624464	-1.513184071
1	1.077669382	-0.51203537	-1.151279688	1.147159696	-0.755576968
0	0.764693737	-1.277554274	-0.653041363	0.274913788	-1.235652447
1	0.633051276	0.068967387	0.143948451	0.332375139	-0.049166784
0	0.654978335	-0.877783537	-0.712951541	0.080484271	-1.312846303
1	1.201308131	0.342535913	0.00852716	0.476486564	-0.325102299
0	-0.64484632	-1.322391748	-0.965986133	-0.310089588	-1.791666985
1	-0.120074391	-0.047463596	-0.306963384	0.75385499	-1.24823761
0	-1.494380951	-0.998582363	-0.241892338	-0.262727499	-1.410101414
1	0.538811386	-0.02486372	-0.62265718	1.649876595	-0.094177246
0	-1.925158978	-1.319051504	-0.341243207	0.283786058	-1.643271923
1	1.251276731	-0.191124097	0.906972051	1.27442944	-1.177405238
0	-0.530326784	-1.237618685	-0.550342262	0.019517124	-1.319988251
1	0.740066886	-0.501003742	0.818441629	1.321822643	-1.615266681
0	-0.427366525	-1.317735672	-0.389783055	-0.18159166	-1.868091583
1	0.646699309	-0.25122878	-0.509574711	1.259601593	-0.090959214
0	-0.913505197	-0.622140884	-0.672573924	0.785147071	-3.364748001
1	0.109453335	0.434275627	0.303180307	1.100739717	-1.478465199
0	0.12336579	-0.654780626	-0.252571017	0.346023172	-2.538335562
1	1.013602734	-0.211518779	0.308327526	0.442062497	-0.70946157
0	-0.183614641	-1.171373487	-1.059217811	0.575315475	-2.608657598
1	0.899777472	-0.810392797	-0.521790028	0.592624605	-2.215843439
0	-0.066593409	-1.304258943	-1.350343108	0.355311453	-2.540775299
1	0.849919677	-0.215860546	-0.564277053	0.248956874	-1.900715947
0	1.401917338	-0.653392911	-0.390507638	0.980306268	-2.310250998
1	-0.796627164	-0.887615442	-0.744110107	0.495976925	-3.933880806
0	-0.023428202	-1.633967996	-1.591664433	-0.315909863	-1.200958729
1	0.535447598	-0.679672718	-0.975141525	0.048548996	-0.356300175
0	-0.445576787	-1.711525917	-1.115674734	-0.338191152	-2.800460815
1	1.114304423	-0.970722556	-0.376260787	0.625130653	-0.65162921
0	-0.166477501	-1.856676579	-1.612336159	-0.259681761	-1.127241611
1	1.708821416	-0.558434248	0.236058235	1.106305003	-0.417155474
0	-0.569132566	-1.733531117	-1.805663466	-0.546969891	-1.952774644
1	-0.013822377	-0.325758457	-1.637140155	1.254031062	-0.684336305
0	-0.060478091	-1.782018185	-1.907450438	-0.237323523	-2.110541344
1	1.17286849	-0.609510064	-0.802492321	0.63380444	-0.652054489
