label	GINS3	STAT1	DNAJB11	EXOSC1	DSG2
0	-1.895386696	0.58962208	0.735228062	-0.40732038	-0.133175611
1	-0.928565264	2.321192741	1.155021191	-0.333886743	1.067944407
0	-2.268182278	0.597669005	-0.219928205	-2.23837018	-0.741659343
1	-0.897214174	2.101021051	0.877942801	-1.045028329	0.370285422
0	-2.599853039	0.78613472	0.325025499	-1.786028266	-0.486379623
1	-1.315019965	1.949337959	1.219388604	-1.54491806	1.771869421
0	-2.140964746	0.349538982	-0.316739678	-2.488394737	-0.452958107
1	-1.136088848	0.358081043	0.577694833	-1.149540067	-0.059192166
0	-2.297633171	0.771946788	0.420905709	-1.839134574	-0.54833436
1	-0.343782991	1.742807865	0.906101525	-1.011691213	0.178936675
0	-2.382934809	0.54558301	-0.240877509	-2.268756628	-0.541176677
1	-0.201228216	2.205784559	0.965906084	-1.544651985	0.269873679
0	-2.256490707	0.134088069	-0.499617368	-2.850037813	-0.480536133
1	-0.287948966	1.639814138	1.339318752	-1.550335407	0.415899873
0	-2.397511482	0.198959231	-0.154348791	-1.596746683	-0.713346183
1	-0.376878083	0.345622838	0.849154949	-1.202410936	-0.025062591
0	-2.264144659	0.332328916	-0.228182375	-2.254432201	-0.653140008
1	-0.279977679	1.20869875	0.549244106	-1.318500042	0.722135127
0	-2.488190651	-0.043890476	0.013359368	-2.333692312	-0.615871847
1	-0.067829341	1.051996112	0.335723132	-1.204672337	0.57636112
0	-2.182214975	0.289471358	-0.373694569	-2.3967309	-0.45189479
1	-0.908173561	0.618515968	0.917086899	-1.797131658	1.028375149
0	-2.59945178	0.389277548	-0.145409226	-1.590703487	-0.598972917
1	-0.268242478	1.829363823	0.560449958	-1.411845326	1.051846504
0	-2.265229225	0.293649942	-0.245117933	-1.491841793	0.696398497
1	0.119407848	1.608962059	0.950797856	-0.880592167	0.868100166
0	-2.910539389	0.181248605	-0.266335785	-1.660827398	0.438636333
1	0.316576034	1.296374917	0.625922263	-0.504790246	1.130260706
0	-2.800094128	0.289457232	0.03316009	-1.482994437	0.438337743
1	-0.614720345	2.327685595	0.756020069	-0.958055615	0.160891682
0	-2.728214741	0.466135085	-0.293382138	-1.723728657	-0.477254122
1	-0.9242571	1.740091681	0.583757102	-0.964913785	0.316531062
0	-1.774791002	0.169929326	-0.094161987	-1.635960817	-0.337367892
1	-0.194362447	1.327350736	0.992468357	-1.177318931	1.285370946
0	-2.363155842	0.245635957	-0.41500017	-2.617525339	-0.055053025
1	-0.561905086	0.643706799	0.336129546	-1.301834226	1.403747559
0	-2.139327049	0.304694772	-0.330917597	-2.358094215	-0.335341573
1	-0.061581545	1.694074035	0.501409829	-1.094744086	0.705948472
0	-2.237850666	0.474844754	-0.110707641	-2.189300537	-0.312020779
1	-0.583917499	0.835220337	1.45356071	-1.291103244	1.257554412
0	-1.899082661	0.436044246	0.077149957	-2.078860283	-0.097703904
1	-0.048880711	2.318647623	1.456257105	-0.74964124	0.34975633
0	-2.720393658	0.488228202	-0.383271098	-2.201338291	-0.001676202
1	-0.612305164	1.049506307	0.201518714	-1.264260292	0.25951311
0	-3.238557816	0.758831143	-0.477853507	-1.67701745	-0.087524623
1	-1.08917892	2.033777714	0.07100866	-1.282388687	0.969539165
0	-3.336352825	0.518492937	-0.479236245	-2.113733292	-0.071150303
1	0.480156302	1.332660198	0.279503703	-0.683157563	0.929252684
0	-2.930420399	1.056998134	0.253678083	-2.100742817	-0.176292777
1	-0.080022298	1.498697996	0.21009399	-0.714054167	1.462615728
0	-2.780124664	0.637693107	-0.462219596	-1.990406871	0.103275537
1	-0.652989864	1.45830214	1.115783215	-0.967604518	-0.815547705
0	-3.33754015	0.004235983	-0.295652509	-2.472827435	0.472581804
1	0.659917057	2.213387966	0.196157232	-0.644854844	2.625505447
0	-2.136290073	0.142399132	-0.172228873	-2.279912949	0.493129581
1	0.338141531	1.10284853	0.522081554	-1.33381176	1.296031356
0	-2.634227514	0.030898362	-0.176661998	-2.245700121	0.221424788
1	-1.772658825	0.402306527	0.281611383	-1.766186953	0.627634048
0	-2.352772951	0.230997384	0.056029618	-2.029275894	0.083018899
