label	ITGB6	MCM2	TNC	TAP2	TMEM164
1	2.623964787	-0.641354799	2.13334322	0.81647712	0.632374704
0	0.905714512	-1.02198565	1.566568613	0.818483829	-0.799063206
1	2.079640388	0.434933066	0.490274608	1.222503304	0.303682327
0	1.018586397	-1.373160839	2.982118607	0.53390646	-2.183624983
1	0.006626505	-1.888281107	1.188216329	1.035980701	0.212503821
0	0.787583053	-1.79169178	1.96109736	0.76147151	-0.858822942
1	2.265797853	-0.173488915	2.643248558	1.91437304	0.582569361
0	1.306454539	-1.782359838	2.206357956	0.708302438	-0.961884677
1	3.966039419	0.107468762	1.977096558	2.032028198	0.072954491
0	1.231639981	-1.746452808	1.381830692	0.449902952	-0.706702888
1	4.369801521	0.110188544	3.457324266	0.926841021	0.440320164
0	1.470744848	-0.320504367	1.557040453	1.467948198	0.379644215
1	1.449676514	-0.362477273	3.375678539	0.774267554	0.240040898
0	1.115424991	-1.670580506	1.257359624	0.716231525	-0.218420893
1	4.003685474	-0.863268375	2.088195801	2.511882067	1.762980819
0	0.442005247	-1.359622002	1.379906416	0.544735491	-0.773732722
1	2.658004761	0.134951904	1.738105536	1.764443159	-0.120927542
0	0.413988054	-1.140657663	2.329361916	0.537196159	-1.016948938
1	0.514256477	-1.878564119	2.286496401	0.836124301	-0.655263782
0	0.228860319	-1.227340937	1.951225042	0.532756925	-0.675433218
1	0.996250749	0.164194912	0.320978582	1.271939397	0.810767651
0	0.489236683	-1.308212042	2.337733746	0.907138109	-0.750147641
1	2.874352455	0.05104202	3.343341827	1.770027637	-1.272418499
0	0.220656335	-1.144349813	2.007123947	0.939216673	-1.015786648
1	1.354855537	0.288010478	1.751097083	2.508611679	-0.455319643
0	0.838611662	-1.602963686	0.694656491	0.943796337	-0.496204138
1	3.77302289	-0.001505569	3.527142286	2.01400876	1.484897733
0	1.468236208	-1.514603853	0.669258296	0.667739868	-0.202328205
1	1.919324398	-0.213026077	2.261285782	2.065863848	-0.576122761
0	1.166551948	-1.552765727	0.766846776	0.829310894	-0.695865154
1	3.39774704	0.299689651	2.004191637	1.882553458	-0.012662247
0	1.349768162	-1.490906	1.180714607	1.405827165	-0.170098752
1	2.259754419	0.475550622	2.384198427	1.093878269	0.117690943
0	1.165034175	-1.36952281	0.797888339	1.263999104	-0.45843935
1	1.826550722	-0.411503345	2.056083679	2.331406116	-0.255059689
0	0.550406277	-1.292793512	1.392626047	1.342801213	-0.382715672
1	2.64827013	0.585154891	1.475156188	2.769316912	-0.257478118
0	0.425424099	-0.925329268	1.417761207	1.189755201	0.082323968
1	1.456557035	0.041088641	2.189898729	1.783355355	-0.585333347
0	1.117899656	-1.171304703	1.797224998	1.157929659	0.113738179
1	0.901436567	-0.542586803	1.739504933	3.261767387	0.312436819
0	0.39431572	-1.441868782	1.078445077	1.017755747	-0.965399504
1	3.258471966	-0.421910286	3.716712475	2.134115934	0.13829422
0	1.163851142	-1.293477416	1.42199409	1.262153983	-0.019273609
1	1.605615973	0.261719167	2.090698004	1.220358014	0.787129164
0	0.404645741	-0.722809911	1.574617147	0.847708642	-1.031930447
1	2.884025097	-0.691440046	2.682618856	1.360630512	0.143810973
0	1.543716669	-0.911013126	1.376964808	0.599990368	-0.943693519
