label	KRT222	TAPBP	STAT1	DSG2	PCNA
0	0.108897686	0.784433782	0.347888231	-0.220915318	-0.989176631
1	3.18864584	3.438139915	1.503823876	2.272666454	0.608029664
0	0.646780074	1.16437161	0.307889253	-0.443918973	-1.02427423
1	2.247147799	3.222760201	2.324250221	1.767858982	-0.280652344
0	0.037508577	1.205327988	0.021518022	-0.46279034	-1.212674618
1	0.82107842	0.632015228	-0.18356812	0.994390845	-0.557131648
0	-0.237610221	0.413711399	-0.100475192	-0.338339806	-1.470326781
1	1.499590755	1.613070846	0.888388634	0.746603847	-0.416509777
0	0.578369677	1.785161853	1.123353601	0.049512729	-0.648887873
1	-0.063225269	1.084708929	0.098507404	-0.172605634	-1.082592368
0	-0.459175229	1.637241602	0.786936581	0.154433191	-1.18583858
1	-0.426454127	1.992484689	1.539654136	0.159592211	-0.267682314
0	-0.68313241	0.91892612	0.233354926	0.04835546	-1.06000638
1	-1.354400158	1.798545122	1.276070476	-0.49391672	-0.253833324
0	0.504240632	0.673026323	-0.032657802	0.213578582	-1.24247098
1	2.340088844	2.373775721	2.07195878	0.91528964	-0.787595987
0	-1.034449697	0.751409888	0.230758309	-0.013595343	-1.420319915
1	1.147739172	1.38017118	0.531060338	0.606400073	-1.278568149
0	-1.09886694	1.140040755	0.188541293	-0.5727005	-1.012424946
1	-0.817516506	1.468164206	2.087728262	0.603826642	-0.249712184
0	-0.692332745	1.022010326	0.384866029	-0.781267166	-1.082672954
1	-0.343961418	3.082762718	2.063280821	0.059146643	-0.322693944
0	-0.393107355	1.639509678	1.265619278	-0.677576482	-1.112243891
1	-0.613950074	3.227446079	2.202612638	0.400369227	-0.601296127
0	-0.429046601	0.953970313	0.113286823	-0.185410529	-1.070116878
1	2.089677334	1.764721394	0.275559396	0.350938976	0.08670032
0	-0.754057825	1.829662561	0.872218847	-0.82983309	-0.979483068
1	-0.753028154	2.022514105	1.20447731	0.158888206	-0.694176137
0	0.723378897	2.005684376	1.343498707	-0.34745425	-1.091367006
1	2.26936245	2.559050083	2.07243824	1.81703949	0.496561944
0	0.465233564	0.917108417	0.171208233	-0.241764814	-0.876973152
1	2.178810596	1.448888063	1.857860804	0.070813008	-0.457778931
0	-0.062102795	0.516230822	0.35321027	-0.623145163	-0.992446244
1	1.722952366	1.162150502	0.813670516	0.482313335	-0.485370398
0	-0.209935904	0.358727276	0.528475046	-0.6477319	-0.89842999
1	2.673322916	0.716316104	1.305839539	2.172218084	-0.115707725
0	0.271793962	1.165665627	0.75075531	-0.240658179	-0.897303581
1	0.217706412	1.789116979	1.607028842	1.535920143	0.375137091
0	-0.29123944	0.316303909	0.238866091	-0.892938554	-0.907989919
1	1.0365839	1.067244053	1.169237256	0.380105197	-0.718509376
0	2.129826546	0.919979811	1.022370219	-0.485043287	-0.824412584
1	0.234288514	0.283868492	0.182790339	-0.843640327	-0.829999685
0	-0.348183572	1.746927857	1.913461208	-0.293100476	0.422682524
1	0.34554103	0.6127038	0.369646162	-0.894680858	-0.818098426
0	-0.184808969	0.276456654	0.241583943	-0.491914988	-1.090013981
1	1.547641635	1.600825906	2.38542819	0.022291377	0.339112103
0	-0.626209497	0.484286517	0.146003276	-0.986907363	-1.134536743
1	1.593913794	1.898981214	1.648981929	0.295523942	0.188001841
0	-0.331497014	0.568252444	0.169960439	-0.655601561	-1.006138325
1	-0.109441444	1.465449452	0.955486119	0.504145026	0.376514822
0	-0.32758379	1.465536594	1.03785491	-0.823137403	-1.283925056
1	1.383097649	1.623713732	0.779817522	-0.359501064	-0.345078707
0	0.587424755	2.010023594	1.386688471	-0.066196449	-0.265647233
1	-0.395992309	1.259066463	0.594811618	-0.951300979	-1.117247343
0	2.353336573	1.208176255	0.583114266	-0.773545802	-0.453554392
1	0.985302329	1.064374804	0.397727072	-0.123984396	-0.371488571
0	-0.23099041	1.059658051	0.880035818	0.215051949	-1.285163403
1	1.214002609	1.577618599	1.218530059	0.857010365	-0.528345823
0	0.128566802	1.190291286	0.570506573	-0.349026322	-1.318028331
1	2.430324554	2.251281261	0.909137189	0.294799149	-0.412202984
0	0.233496308	0.833131909	0.308289498	-0.223335207	-1.498440742
1	-0.388133347	2.262414455	0.984169483	-0.041957408	-0.91718334
0	-0.433028579	1.266245365	0.543938398	-0.802221417	-1.398812056
1	2.333707809	3.649719954	2.237457752	-0.068437412	-0.360441446
0	-0.456501424	1.467616796	0.522838473	-0.668230712	-1.388731003
1	0.18574357	1.624338865	0.796397328	0.555253088	-0.316618502
