label	CP	C5	IGHG4	GSN	SERPINA2
0	-2.672405005	-2.449387312	-3.154747605	-0.919435263	-2.291220844
0	-2.562003016	-2.015814275	-2.437875748	-1.318055868	-2.45328936
0	-1.98694694	-1.112948716	-1.277806133	-1.015455365	-0.954592586
0	-2.106727481	-1.745229006	-1.568585336	-1.241264105	-1.609198034
0	-2.689482749	-2.421911448	-2.505333602	-1.089437127	-1.673159629
0	-2.073937535	-1.887697525	-1.81579271	-1.373015285	-1.267764479
0	-2.461461306	-2.063603997	-1.980180264	-0.66125536	-2.706216216
1	-1.302372336	-1.054293871	-1.200074911	-0.560330749	-1.35427177
0	-1.692739666	-2.116469145	-1.807534695	-1.034725308	-1.82767725
0	-1.407239139	-1.561604977	-1.086115509	-0.645058393	-1.615963936
0	-1.516995072	-1.094609976	-0.696888864	-0.914916635	-1.623457909
0	-1.879184008	-1.601246178	-1.389059842	-0.854509592	-1.892582536
0	-3.130578458	-2.135793209	-1.698445082	-0.608595371	-1.877068877
0	-2.417802334	-1.389798701	-1.32388413	-1.130147934	-1.773770064
0	-2.226136923	-1.650343537	-1.764165521	-0.464535475	-1.603643835
0	-1.734388351	-1.399479091	-1.266564131	-0.207616806	-1.209246039
0	-1.317293763	-1.463844299	-2.029314995	-0.853305101	-1.630725265
0	-1.628902555	-1.737744689	-1.59216772	-0.952014923	-1.96934402
0	-1.012131095	-0.916336656	-1.208958268	-1.20422256	-1.278480291
0	-0.999928236	-0.553607941	-2.0838902	-1.006915569	-0.766198039
0	-1.945199609	-2.110812128	-1.452579319	-1.139268875	-1.745986581
0	-2.21095252	-2.05472976	-1.446563363	-0.922462344	-1.345451832
0	-0.82266736	-1.171058059	-1.325329065	-1.143940449	-1.286754072
0	-3.319972157	-2.160610259	-2.996782959	-1.880091429	-1.674481392
0	-1.541232228	-1.39673382	-1.591253698	-0.920996666	-1.802757204
0	-2.408694863	-1.373256087	-1.992484748	-0.986323357	-2.436249316
0	-1.76038456	-1.412300229	-1.389341801	-1.628636807	-1.83309643
1	-0.745511055	-0.303799868	-1.179854274	-1.101680517	-1.183574438
1	-0.815924406	-0.598910451	-0.596139908	-0.234312654	-0.902748227
1	-1.27565217	-0.902772784	-1.864837378	-0.74325183	-1.317332208
1	-0.925449133	-0.815524817	-1.76276207	-0.360314012	-1.200456679
1	-1.418186665	-1.048802376	-0.68937552	-0.760859489	-1.437723994
0	-0.819855213	-0.994991899	-0.373208612	-0.153418541	-1.279676437
0	-1.345008373	-1.189486265	-1.75975275	-0.267420769	-1.278215766
