label	IGHV3-43	NRP1	APCS	SERPINF2	DAG1
0	-0.309267521	-1.292708755	-2.339780163	-1.898065567	-2.162025761
0	0.839130402	-0.435411572	-1.589364648	-1.814718962	-0.930690408
0	-0.422935247	-0.8507967	-2.949599206	-2.128733933	-1.496595562
0	1.180909991	-0.618000686	-3.39176267	-2.763081726	-2.097540677
0	-0.138336182	-0.829238415	-2.82851636	-1.9635005	-1.098078191
0	-0.551911116	-0.910346508	-1.78495726	-2.672756195	-2.405359879
1	-1.553769112	-0.353638172	-1.688141346	-0.999051809	-1.167141557
0	-2.173021436	-1.020497441	-3.58188647	-2.755121171	-1.517044466
0	0.199569464	-0.720790327	-1.804688394	-1.888360977	-0.570117831
0	-0.963959217	-0.29717052	-1.513320476	-1.747300863	-1.191808343
0	-0.100695848	-1.063233912	-2.22407937	-1.935804367	-1.513149954
0	-0.049561024	-0.791576147	-2.438047409	-2.470442891	-1.474790961
0	0.554568529	-0.272167802	-2.25372088	-1.985754728	-1.888126671
0	-0.198745131	-0.860405564	-1.485996723	-1.008925319	-1.510982111
0	0.210591435	-0.832896471	-4.389637947	-1.657570958	-1.60043532
0	-1.413871527	-0.271263361	-1.511213332	-1.479105175	-1.168705225
0	-1.502156019	-1.377935529	-2.372789063	-2.217624843	-1.246298552
0	-2.018461704	-1.189309835	-2.637597777	-1.170923352	-1.759387285
0	-1.336356878	-0.459501147	-1.912934124	0.277021766	-1.061765343
0	-1.335717916	-0.38957715	-2.449278057	-2.045796722	-1.190405011
0	-2.111047864	-1.084986389	-2.215099797	-2.637183189	0.019130349
0	-0.951392174	-0.876497626	-2.680182397	-0.994080067	-0.864061832
0	-3.083063304	-1.300513327	-1.921820402	-2.719077706	-1.189023256
0	-2.39678371	-0.976426005	-2.185546707	-1.352010012	-1.352304786
0	-1.273290992	-0.004578471	-2.229225278	-2.180084705	-0.800719142
0	-0.776155233	-0.999391198	1.315960765	-1.21013689	-0.633285195
1	0.702163398	0.169629693	0.148347974	-0.065781832	-0.932074606
1	-0.008204937	-0.253438711	0.531454206	-0.44901824	-0.450579047
1	0.264043689	0.025848269	1.224812388	-1.340387464	-0.887905017
1	-0.304827809	-0.089660048	-0.239579558	-1.152100325	-0.740990758
1	-2.038936853	-0.08818084	-2.122826338	-0.981192112	-1.138069689
0	-0.415530205	0.292828262	-2.885257721	-1.421263635	-1.309515119
0	-0.818948984	-0.387181103	-3.729892373	-0.524347782	-0.604906112
1	-1.259580612	0.207777143	-2.398722768	-0.526533484	-1.514038563
0	-2.358052254	-0.379137814	-2.143796563	-2.580816776	-0.669460177
0	-3.266567469	-1.446973681	-2.150604486	-2.372144759	-2.006081268
0	-1.73658061	-0.65754354	-2.162849963	-1.513726369	-1.929081902
1	-0.861760378	-0.162645102	0.166057587	-0.448687255	-0.32042563
1	-0.439967871	0.035352468	-0.901933074	-0.451583982	-1.052869081
1	-0.840012074	-0.697657824	-1.205224037	-1.101709664	-0.503615558
1	-0.588970423	-0.098063231	-0.090317726	-0.163554192	-0.204130054
0	-1.516670108	-0.891188502	-3.398659945	-1.164054394	-1.061687976
0	-2.290647507	-0.464488745	-1.297469378	-2.153548971	-1.165016919
1	0.452451229	-0.139801025	-0.315261841	-0.765999556	-2.012314498
0	-1.921924353	-0.746737599	-1.928736329	-1.669792891	-1.129640847
1	-0.618213177	-0.645268202	-2.16136688	-0.634914041	-0.84730795
1	-0.189913273	0.31513536	-0.857210413	-0.647571504	-0.057368636
1	0.340771556	0.255586863	-1.627383232	-0.947106421	-0.73837465
1	-0.478984356	-0.602311373	-3.085519552	-1.229608834	-0.277685374
0	0.620052695	-1.635593534	-2.418843076	-0.626757503	-1.625375688
0	-0.344378114	-0.429037213	-0.800494276	-1.106315136	-1.874626726
1	0.601508379	-0.673301101	-0.069789469	-0.487549245	-1.85560593
0	0.072129011	-0.152157307	-0.877957374	0.592575192	-1.349984527
0	0.089084983	-0.65723443	-0.044391409	-1.782971621	-0.769471049
1	-0.165311813	-0.47991395	-0.421877861	-0.444378614	-0.912994981
1	-0.519760609	-0.10642612	-0.476600647	-1.211164951	-0.851764113
0	0.690294266	-0.852610111	-1.476389647	-1.41920948	-0.917965263
0	0.200971961	-0.851168752	-1.061309576	-2.508642316	-1.76501286
0	-0.005224943	-0.379621387	-1.817425698	-2.119471908	-1.322650447
0	0.609321713	-0.202123642	-1.620436728	-1.937500596	-1.29539521
1	0.225191712	0.085880876	-0.181054473	-0.342194796	-0.187704563
0	0.505081892	-0.741651416	-2.701069552	-2.344900727	-0.940903395
0	-0.007861257	-0.363557458	-2.461775303	-2.363905191	-1.287484258
0	-1.169307709	-0.591037095	-0.073476434	-2.035636663	-2.417030513
0	-2.69615221	-0.822739482	-0.542537451	-2.242355436	-1.659629315
1	-1.260753632	-0.513746858	0.91258353	-0.883339643	-0.420991212
0	-0.74783802	-0.723857224	-0.660450757	-1.623229265	-1.211965144
0	-1.567969561	-0.748605967	-2.913461387	-0.670084357	-1.578135073
