label	KNG1	MFAP4	CFHR1	NRIP2	FETUB
0	-2.389981151	-2.783301711	-1.765820086	0.298068643	-1.426759586
0	-1.624291241	-1.861614108	-1.038874328	-0.39712292	-1.234503239
0	-1.406217098	-1.967150331	-0.811030149	-0.712360665	-1.175636768
0	-1.766576648	-2.345241845	-1.225978017	-0.771616817	-1.490729809
0	-2.712747812	-1.530134678	-2.728137434	-1.32130748	-2.730112329
0	-1.617624044	-1.837078661	-1.889310658	-1.867609888	-1.934087642
0	-1.675141692	-0.647484988	-1.464959264	-0.321427226	-1.627785474
0	-1.689447522	-1.554292828	-1.372956514	-0.908145607	-1.592074454
0	-1.717522621	-2.296903253	-1.220673919	-0.286606669	-1.293152273
0	-2.079157829	-1.773962975	-1.162641525	-0.394402087	-1.584370792
0	-1.155409455	-2.59389919	-0.509669662	-1.870669544	-1.048015654
0	-1.218621492	-2.655453086	-0.573992729	-2.220159024	-1.03178978
0	-2.194915056	-2.157947183	-1.864079744	-1.422202855	-1.66381371
0	-2.17284894	-0.458019853	-1.954654694	-2.445356369	-1.610515893
0	-1.260131121	-1.983171523	-0.907951951	-1.485712647	-1.194490135
0	-3.167582989	-2.203027368	-2.059611857	-1.404947162	-2.734541945
0	-2.122642279	-1.855787367	-0.958762407	-0.892845869	-1.602609396
0	-2.558490872	-2.104709625	-1.347931743	-0.018343806	-2.102168441
0	-2.186743855	-3.105753183	-0.932639182	0.056297421	0.686004996
1	-1.091203928	-1.750081062	-0.09347105	-0.227143049	0.327999115
1	-1.025423408	-1.178176403	-0.048968792	0.755660057	0.035408735
1	-1.636263609	-2.63853538	-1.057607412	0.62919426	0.747213006
1	-1.14035964	-1.806043625	-0.98703444	-0.47949028	0.74379909
1	-1.451051235	-3.7908113	-0.172024488	-0.111055374	-1.576849461
0	-1.695486546	-3.067394137	-0.306309581	0.534259796	-1.860832095
0	-1.343287468	-3.032013357	-1.069492459	-0.099750996	-2.321915686
1	-1.430197716	-2.926328659	0.056696415	0.354538679	-1.567566752
0	-1.825716376	-2.546598732	-2.100971699	0.250030637	-2.143582225
0	-2.657868505	-8.51042819	-2.617316544	-1.433878928	0.46711719
0	-1.770275354	-3.281093597	-1.520433545	-1.119975194	-0.014459729
1	-0.439700842	-0.975828171	0.051668167	0.653747678	1.725889802
1	-0.269304514	-1.6137321	-0.273663998	0.354878664	0.533179283
1	-0.989230394	-1.333554745	-1.45238328	-0.283376694	0.568896532
1	-0.466817141	0.415911198	-0.163186073	-0.095804751	-0.403338909
0	-1.977010369	-2.103973269	-1.484608173	0.227791905	-2.307349205
0	-2.195495009	-1.139229059	-1.681702852	-0.460133076	-2.137270391
1	-0.768289566	-1.502524376	0.876628876	-1.029312253	-0.47889185
0	-2.081813574	-0.985618114	-1.397810221	-1.154805988	-2.216066241
1	-1.206281662	-1.103808045	-0.687238216	-1.481232047	-0.632457256
1	-1.300921381	-1.280143082	-0.781528711	0.542125583	-0.137870073
1	-1.521463037	-2.585359573	-1.400181651	-0.170807242	-0.046998024
1	-1.604919791	-1.898792744	-1.498185277	0.691407442	0.089160562
0	-1.997751355	-2.618970692	-0.939656258	-1.351951644	0.916826844
0	-0.986562967	-2.26524353	-1.571267128	-1.332100391	0.938312054
1	-0.706063747	-2.033560991	-0.975490451	-0.481847525	0.313056231
0	0.187001467	-2.717725575	-0.036383152	-1.614911318	1.123775959
0	-2.393145323	-1.398862511	-1.935815647	-0.026075542	-0.516654849
1	-0.94438982	-1.183004141	-0.11082387	-0.686483622	-0.551480532
1	-1.417555451	-2.158498764	-0.525926113	-0.273666143	-0.99532187
0	-1.65490973	-2.332348332	-0.716080427	-2.330567479	-1.008403122
0	-2.249759197	-2.244957685	-1.423253655	-1.998680472	-1.729804873
0	-1.937338114	-2.037585735	-1.587379694	-1.867645591	-2.340905666
0	-1.655111313	-2.199746668	-1.679361582	-0.807654917	-1.657369018
1	-0.155439377	-0.874164343	-0.172268152	1.278272629	-0.303932428
0	-2.179615498	-1.961352587	-1.547922015	-0.996410728	-2.446057081
0	-2.45438242	-1.178197622	-0.954100847	-0.818314016	-2.585057259
0	-1.895977497	-1.176047802	-1.627464056	0.267513752	-1.391541004
0	-1.930166125	-2.27469337	-1.981463075	0.830075502	-2.36976862
1	-1.010194331	-0.767521262	-1.163218498	-0.131067395	-0.176471472
0	-1.354806066	-1.403343379	-1.912662864	0.458707333	-1.563619375
0	-1.255604655	-1.711040497	-1.454511404	-0.403174996	-1.64902252
