label	LIG1	GBP2	TGM3	RPS4Y2	FERMT1
1	0.839548409	1.002188802	0.333987474	0.960937083	-0.135494411
0	0.655050337	0.856235743	0.730702639	0.832788885	0.254671931
0	0.396658301	0.053212404	0.282559752	0.18208921	-0.067211896
0	0.805406094	-0.150278568	0.385626793	0.237002969	0.462068796
0	0.299255133	0.856168389	0.792568922	0.110333323	0.452073574
0	0.488518894	0.351173162	-0.701951504	0.285854816	-0.035390258
0	0.191269279	0.829370856	-0.813355476	0.754731655	1.117297888
1	0.242359161	1.598255754	-0.60022144	0.233250201	0.676394641
0	0.111586094	-1.035861313	0.077061296	-0.033566713	-0.046805471
0	0.239945531	0.943566561	0.870541573	0.510679543	1.395626187
0	0.728564084	1.242245495	-0.044532359	0.098264575	0.812828958
0	0.643777966	0.744545579	-1.155736744	-0.036901176	0.047288537
0	1.114811212	-0.145196378	-0.451443195	-0.183661819	0.079219282
0	0.65408963	0.142140985	0.386504531	0.01562041	-0.511889637
1	0.934787825	0.257373214	-1.045239866	0.439419448	0.738288641
0	0.570817292	0.764571607	-0.945244133	0.452933729	0.432518244
0	0.920331359	-0.074877322	-0.68500042	0.637426436	0.553370118
0	0.714480221	-1.172011256	-1.100794137	1.062588453	1.630421877
1	0.737324655	0.260703087	-4.903070495	-0.227956355	0.895280838
0	0.842482269	0.263021588	0.112854004	0.009091377	0.353133142
0	0.062828779	0.224091887	0.05219245	0.482836127	0.490627587
0	1.186360478	1.013481855	0.929417253	-0.01003933	1.944796771
0	1.47311148	1.233181357	0.390084386	0.568018317	0.330947757
0	1.391940922	0.52042532	-2.361538649	0.179058105	0.713582873
0	1.187591881	0.081041694	-1.917560756	0.518147826	1.551828027
0	0.719499409	-0.300260067	-0.442330003	0.158878505	-0.163227022
0	0.459402502	0.387038946	-0.732018918	0.561479032	0.552526742
1	0.885467544	-0.554223835	-0.96567288	0.355044305	-0.30938375
1	0.198345363	0.054747641	1.330279827	-0.007676899	0.90474689
0	0.728136718	-0.179741025	-1.225965321	0.589922607	0.024848193
0	0.150248289	0.061270595	-0.678690702	0.826400459	0.408622622
0	0.999317586	1.71487838	-0.422235765	0.264957279	0.762363344
0	1.396624863	-0.651284218	-0.516146507	0.682998538	1.89680773
