label	KIF11	EBP	CYBRD1	GPD1L
0	0.819935799	0.351144314	-1.64379549	-1.339833155
1	1.302956045	0.574895129	-1.612132132	-0.302104086
0	0.417583466	0.603295326	0.328935862	-0.766233504
0	-0.146749377	0.363325119	1.021949053	-0.54948616
0	1.599118888	1.706992894	-0.717295885	-1.036555618
0	1.182643533	1.448988825	-0.309343576	-1.350911349
0	0.834611058	1.055807918	-1.214139223	-0.975174904
0	0.980320454	0.046877153	-1.440321703	-1.066888332
0	0.129671812	0.159591854	-0.182260454	-0.643125176
0	0.138301373	0.568720669	-1.060407162	-0.755475938
1	0.148739696	0.393413316	-1.76930654	-0.185519755
1	-0.25878346	-0.343297482	-2.233121395	-0.510433853
0	0.047280192	0.336448431	-1.482878447	-1.052815408
0	-0.05747366	-0.637300014	0.358350873	0.420847327
0	0.128136277	0.823602736	-0.7573089	-0.231150389
0	-0.124676943	2.894074976	-2.625233352	-1.204220355
