label	COCH	GALNT3	DCUN1D2	GSDMB	FERMT1
1	-3.353770286	1.184633791	1.394223735	2.465229213	0.252835035
0	-2.19869937	1.201646566	0.352516353	0.749303162	0.208272278
0	-0.8926842	2.230699211	1.023276038	1.404722303	1.208977252
1	-1.574400589	1.56229043	0.422333851	0.252864599	-0.135494411
0	-1.510677025	1.528889358	0.185525849	0.547756553	0.254671931
0	-0.913452864	0.340985954	0.579068005	0.815347195	-0.067211896
0	-0.637069196	0.983694792	0.258802414	-0.361108899	0.462068796
0	-0.237449288	0.654398024	0.273534358	-0.103046179	0.452073574
0	-0.041457295	-0.371742845	0.256368876	0.350627661	-0.035390258
0	-2.298992962	0.475177765	0.441727266	1.102174044	1.117297888
1	-0.066295922	0.389476836	0.661917597	-0.359672904	0.676394641
0	-1.218799233	2.529842257	0.248817682	-0.52306807	-0.046805471
0	-2.330205262	1.119080484	1.063637853	0.408775449	1.395626187
0	-1.399062037	0.688568622	0.26753512	0.543518186	0.812828958
0	-0.941382632	-0.463778824	0.209915206	-0.051687717	0.047288537
0	-1.164921552	0.683999568	0.152082443	-0.349933386	0.079219282
0	-2.098334908	0.285693347	0.43610917	0.56922543	-0.511889637
1	-4.215618342	2.00393635	1.120011225	0.193281651	0.738288641
0	-0.258844703	1.312738985	0.670521706	0.332024455	0.432518244
0	-0.480220795	0.867044657	0.12396156	-0.457949519	0.553370118
0	0.03503406	1.445716977	0.224495918	-0.035287023	1.630421877
1	-1.933754623	0.804463923	1.303323567	0.98554194	0.895280838
0	-0.384050131	0.711075306	0.911039561	1.658089101	0.353133142
0	-2.584205389	0.975784659	0.572413743	0.521156043	0.490627587
0	-2.874459296	1.198255301	1.313659966	0.691294223	1.944796771
0	-0.722140819	1.48944515	0.688424289	1.718526602	0.330947757
0	-0.300607622	2.168944597	0.936334938	0.84115991	0.713582873
0	-0.146653175	0.0912714	1.129661202	0.832123339	1.551828027
0	0.069245756	0.860061496	0.081059396	0.464914709	-0.163227022
0	-1.512312055	0.67019403	0.869654536	1.052668184	0.552526742
1	-2.122021034	0.187011361	0.346109673	0.031269073	-0.30938375
1	-2.523508728	0.659195393	0.02981782	0.413557887	0.90474689
0	-1.515085369	0.652178861	-0.272031903	0.283227324	0.024848193
0	-0.414154738	-0.439300418	0.50176096	0.910172462	0.408622622
0	-1.013224944	0.710300624	0.639785714	0.029934168	0.762363344
