label	COCH	POLD2	GPD1L	GSTK1
0	-1.519698203	-0.018667325	-1.173445672	0.589551687
1	-0.527267784	0.452671468	-0.45368278	0.412025213
1	-0.438296348	-0.408751667	-0.18996051	0.99486357
0	-0.372250497	-0.103597164	-1.267144024	-0.013173118
0	-1.051563233	-0.050866768	-0.828527093	0.420583636
0	-2.079426616	-0.222287893	-1.521781057	0.572877258
1	-2.813378543	0.324436545	-0.799680665	0.600588739
1	-2.437362634	0.268359922	-1.564586192	0.117304891
1	-3.062958777	-0.296995834	-0.47044681	1.340499938
0	0.072316885	0.865160018	-1.035194403	0.804721177
0	0.298911333	0.586063996	-0.582179338	-0.125183702
0	-0.199032903	-0.291005179	-0.994217634	0.188821614
0	1.061626673	0.386804298	-0.708449811	0.537869692
0	-0.996942639	-0.028536737	0.474754125	0.473010182
1	-3.213578194	0.475887954	-0.344182551	1.419783503
0	-2.634418786	0.510780334	-0.365155965	0.787432551
0	-1.244159281	0.670613229	-0.754952688	0.739029914
1	-2.308449533	1.414831102	-0.081538767	1.295888603
1	-2.098777711	1.030814409	-0.782897204	0.503339142
0	0.474635601	0.401257575	-0.700804874	0.670158565
0	-0.056731939	0.57806547	-0.786059231	0.101198077
0	0.146620035	0.889563709	-0.905751258	0.641783535
0	-0.189118862	0.527073041	-0.661981881	0.829156637
0	0.022500277	0.470676742	-0.754164249	0.842895389
1	-0.276322722	0.109989643	-1.05469577	0.74873209
0	1.42095089	0.513844728	-0.829363182	0.634858638
0	1.137621522	0.5735659	-1.541993231	0.258512199
0	0.15420866	0.566615671	-1.372404426	-0.422349304
0	0.380880833	0.171223581	-0.471629128	1.235278845
0	-0.223878741	0.793267608	-0.596014038	0.543519735
0	-0.777114987	0.156595886	-0.907927141	0.709759891
0	0.980445981	0.138911605	0.076032519	0.463032603
0	0.646874428	0.300010085	-0.082310408	0.420084059
1	-0.231921911	0.53949073	-0.203715749	0.697345555
1	-2.697740316	1.358840585	-0.881416678	-0.057936937
0	-2.255413651	0.890564919	-1.214822054	0.263038874
0	-1.570568323	0.451904535	-0.397547528	0.455734372
0	-2.445013463	0.857339993	-0.42228061	0.481066346
0	-2.170970321	0.582101613	0.071931094	0.189273
0	-2.292427242	0.736802578	-2.631965637	-0.211262941
1	-1.574799716	0.59865278	-0.639320374	0.721904397
1	-3.353770286	0.276131034	-1.042027533	-0.41513589
0	-2.19869937	0.07075417	-1.032957882	0.070033073
0	-0.8926842	1.078197062	-1.033354491	-0.378086329
1	-1.574400589	-0.011633053	-0.07702969	0.742695928
0	-1.510677025	0.152874187	-0.809975773	0.808176011
0	-0.913452864	-0.048174649	-0.225468993	-0.016628265
0	-0.637069196	0.134612709	-0.575572997	0.377793372
0	-0.237449288	-0.043395475	0.381368518	0.594434738
0	-0.041457295	0.505417466	-0.306780696	-0.062713325
0	-2.298992962	-0.027180552	-0.46323815	0.659646213
1	-0.066295922	0.724660188	-0.325654536	0.354953766
0	-1.218799233	-0.042895794	-2.019313693	-0.517956436
0	-2.330205262	0.238069475	-1.096339762	0.470943689
0	-1.399062037	0.706245899	-2.080720961	-0.291105479
0	-0.941382632	0.184693515	-0.167800784	0.896490514
0	-1.164921552	0.170327663	-0.308303222	0.064154506
0	-2.098334908	0.210710168	-0.94809562	0.234469414
1	-4.215618342	0.57279563	-0.45692198	0.418125629
0	-0.258844703	0.507382452	-0.843513496	0.755447119
0	-0.480220795	0.464185715	-1.032192998	0.21646598
0	0.03503406	1.100976884	-1.339833155	1.505526543
1	-1.933754623	0.70584178	-0.302104086	0.323193371
0	-0.384050131	0.151066661	-0.766233504	0.365527004
0	-2.584205389	0.003900051	-0.54948616	0.949917316
0	-2.874459296	0.628679737	-1.036555618	0.504687965
0	-0.722140819	1.117134422	-1.350911349	0.435882747
0	-0.300607622	1.342372611	-0.975174904	1.260758042
0	-0.146653175	1.384266943	-1.066888332	0.937614113
0	0.069245756	0.556389034	-0.643125176	0.097980499
0	-1.512312055	0.756192505	-0.755475938	0.732837915
1	-2.122021034	-0.265494525	-0.185519755	0.192858577
1	-2.523508728	0.175406933	-0.510433853	0.62087816
0	-1.515085369	0.426791191	-1.052815408	0.776099145
0	-0.414154738	0.224124074	0.420847327	1.556791723
0	-1.013224944	0.620835125	-0.231150389	1.42441988
0	-0.604395092	0.936893865	-1.204220355	-0.042370141
