label	SPINT1	COCH	CTSB	ERP29	POLE2
1	0.462458491	-2.437362634	0.155924559	1.117972076	0.635115743
1	0.584246814	-3.062958777	0.931153595	1.432342887	1.583552957
0	1.693497598	0.072316885	0.339059114	0.494498551	1.496612251
0	0.97223115	0.298911333	1.305096686	0.090532005	0.732439399
0	0.667147636	-0.199032903	0.895640135	0.009529531	1.179280162
0	0.640848875	1.061626673	0.51534766	0.42138654	2.175856829
0	0.645522237	-0.996942639	1.302226782	0.418016434	0.533292413
1	0.536859751	-3.213578194	1.399218321	1.461245686	2.366685599
0	0.179179549	-2.634418786	1.497045755	0.419412404	0.57348156
0	1.590186834	-1.244159281	0.741504669	0.527456164	0.189133525
1	0.758452415	-2.308449533	0.885795355	0.158967167	0.752358556
1	0.139630079	-2.098777711	1.585023522	0.301230282	2.186918497
0	2.121824861	0.474635601	0.574294388	0.086407691	1.039335132
0	1.588409424	-0.056731939	1.624642611	0.672496051	1.385040283
0	1.451609135	0.146620035	1.084415913	0.287555873	2.018375844
0	-0.034706831	-0.189118862	0.52578938	0.695768774	1.207667828
0	2.139394164	0.022500277	1.343511581	0.650199324	0.514966965
1	-0.155793548	-0.276322722	0.801556349	1.022121131	1.949221551
0	0.712379217	1.42095089	1.531367809	0.393862516	1.536146879
0	0.853554249	1.137621522	1.016784489	0.38914597	1.416142941
0	1.388113499	0.15420866	-0.020319819	-0.299453169	2.62408933
0	0.111032844	0.380880833	2.752942085	0.927440494	2.02075696
0	0.319952607	-0.223878741	1.044687748	0.320758596	1.219624817
0	0.515733182	-0.777114987	0.780308723	0.289944127	0.479202151
0	0.966391563	0.980445981	0.618984282	0.381172597	1.897921085
0	0.030080855	0.646874428	0.142296791	-0.31387933	1.940203279
1	-0.018608689	-0.231921911	1.567220807	0.986159205	1.639191985
1	-0.055703759	-2.697740316	0.585795164	0.426742554	0.67738533
0	0.098404884	-2.255413651	0.397594213	0.553723335	0.276127458
0	-0.003623605	-1.570568323	0.610594749	0.172482193	0.272181869
0	-0.112438083	-2.445013463	0.211857677	0.42976734	0.204354405
0	-0.052715421	-2.170970321	1.741597414	0.803837061	1.643566847
0	1.290317535	-2.292427242	0.604311526	0.045766234	0.736458302
1	-0.239880562	-1.574799716	0.354512513	0.736087143	0.917924047
1	2.383775711	-3.353770286	1.298217356	2.256924093	1.16950649
0	0.528869629	-2.19869937	0.807261109	0.434562027	1.007154346
0	2.136569738	-0.8926842	0.056665897	0.147465348	1.942231972
1	1.328602433	-1.574400589	0.789919019	0.877874017	1.490718365
0	1.619830132	-1.510677025	0.637537599	0.790841967	0.757760525
0	0.488614082	-0.913452864	0.073212624	0.224635035	0.381133556
0	0.424502134	-0.637069196	0.215330422	0.522180945	0.311082482
0	0.44295907	-0.237449288	0.811921835	0.821706012	0.259845257
0	-0.51564455	-0.041457295	-0.060806155	0.066770285	0.714912295
0	1.097383261	-2.298992962	0.914543509	0.550499052	-0.070005417
1	-0.12753582	-0.066295922	0.921420097	0.840277523	0.876363158
0	1.346893072	-1.218799233	1.054868698	0.88354528	-0.300316334
0	0.958110094	-2.330205262	1.01145184	0.652230889	0.918699861
0	-0.017037749	-1.399062037	0.159172177	0.054859132	0.754213452
0	-0.762839913	-0.941382632	0.72789228	0.585326731	0.462803483
0	0.099260449	-1.164921552	0.364094138	0.417317778	0.759325743
0	0.793986559	-2.098334908	0.498584747	0.314248085	0.346199751
1	0.997977883	-4.215618342	0.441529036	0.219049186	0.40707463
0	0.975767285	-0.258844703	0.666449249	1.026822001	0.095993876
0	1.185816944	-0.480220795	1.215441406	0.967099965	0.553589046
