label	COCH	COX7A2	S100A10	PPA1	D2HGDH
0	-1.025575817	0.753867656	-0.79808253	0.536321931	0.595792055
1	-3.007346749	0.15378812	-0.231654882	1.529310942	-0.127703786
0	-1.11701566	0.343153059	-0.968713708	0.311127201	-0.506371111
1	-1.124606431	0.088569179	-1.015028715	0.418968514	-0.414874226
0	-1.642238379	-0.468933851	-0.459541321	0.184295326	-1.007155508
0	-1.314809546	0.324929222	-0.118819058	0.692003697	-0.446283162
0	-1.519698203	0.731320828	-0.890280873	1.182719171	-0.189152956
1	-0.527267784	0.17466259	-1.059778035	0.361616075	1.042274475
1	-0.438296348	1.361119688	-1.14782244	0.936175197	0.124794006
0	-0.372250497	0.68060635	-0.763810337	1.007841572	1.751606345
0	-1.051563233	2.030904382	0.359596968	1.187111244	0.706748486
0	-2.079426616	1.035354406	-0.667898536	0.821413219	0.096333802
1	-2.813378543	1.167558074	-0.747656822	1.144577622	-0.321229309
1	-2.437362634	1.018635511	-1.555491507	0.934135169	-0.438909598
1	-3.062958777	1.772413492	0.398514181	2.429646313	0.111064285
0	0.072316885	0.468955079	-1.061494589	1.034830809	0.266180515
0	0.298911333	-0.506935596	0.561915874	0.284507424	0.997388124
0	-0.199032903	0.64694719	-0.561206937	0.836170271	0.810244918
0	1.061626673	-0.824664801	-0.174780965	0.633202717	-0.391489267
0	-0.996942639	0.605843812	-1.123174131	0.770425171	0.529962659
1	-3.213578194	0.798381418	-0.304453552	1.219668031	-0.597386926
0	-2.634418786	0.350614548	-0.20819205	0.280840486	-0.39004451
0	-1.244159281	0.554133415	-1.173452903	0.570950851	-1.21186316
1	-2.308449533	0.338655114	-1.467741638	0.569525659	-0.303272933
1	-2.098777711	-0.056694299	-0.175269485	0.17346096	-1.918133378
0	0.474635601	0.958509445	0.377359867	0.833017543	-1.08292973
0	-0.056731939	0.903779775	0.089190722	0.511646375	-1.07052356
0	0.146620035	0.865892231	0.331055641	0.437149242	-0.914276026
0	-0.189118862	0.938598275	-0.173195481	0.966371477	-0.418458842
0	0.022500277	1.198893994	0.019129515	0.998570979	-0.555135638
