label	PLSCR1	COCH	RPL10	GPD1L	USP28
0	1.455191135	-0.199032903	0.137563944	-0.994217634	1.628859878
0	1.062791586	1.061626673	0.774204731	-0.708449811	1.103037775
0	0.99619174	-0.996942639	0.47727561	0.474754125	1.270817667
1	2.261029005	-3.213578194	-0.365146875	-0.344182551	1.941504329
0	1.645194054	-2.634418786	-0.347373724	-0.365155965	0.903888822
0	1.647923946	-1.244159281	2.003522992	-0.754952688	1.659518432
1	0.719385505	-2.308449533	1.617374063	-0.081538767	0.933390796
1	1.309503436	-2.098777711	-0.585893393	-0.782897204	1.022711337
0	0.684618473	0.474635601	0.244878054	-0.700804874	0.866491288
0	0.885600805	-0.056731939	-0.524567127	-0.786059231	0.61829412
0	1.468179226	0.146620035	-0.054430723	-0.905751258	0.672509521
0	0.506537318	-0.189118862	-0.495801687	-0.661981881	-0.381008238
0	0.246779919	0.022500277	1.265655279	-0.754164249	-0.289325982
1	0.045620918	-0.276322722	-0.181960821	-1.05469577	0.618235767
0	1.607238829	1.42095089	-0.538194895	-0.829363182	0.649906456
0	0.723016977	1.137621522	0.237978697	-1.541993231	0.615613848
0	1.334415197	0.15420866	0.119033813	-1.372404426	0.017634392
0	0.482692719	0.380880833	0.92526722	-0.471629128	1.896501601
0	-0.052907705	-0.223878741	1.211814642	-0.596014038	2.321404651
0	0.12034452	-0.777114987	0.996032476	-0.907927141	1.069046319
0	-0.118088007	0.980445981	0.642156839	0.076032519	1.899208009
0	-0.527774453	0.646874428	0.306183338	-0.082310408	2.034577899
1	0.057598591	-0.231921911	-0.074486494	-0.203715749	1.747092634
1	2.195004106	-2.697740316	0.243493438	-0.881416678	1.124801889
0	0.693369508	-2.255413651	-0.579360127	-1.214822054	1.063441932
0	0.65941751	-1.570568323	-0.680030346	-0.397547528	0.377872765
0	1.496583819	-2.445013463	-0.547612667	-0.42228061	0.412478745
0	0.726968765	-2.170970321	-0.744464517	0.071931094	0.863080829
0	0.561489463	-2.292427242	0.494728565	-2.631965637	0.632365108
1	1.133778811	-1.574799716	-0.216727972	-0.639320374	0.496986508
1	1.20335865	-3.353770286	-0.562805176	-1.042027533	0.290115297
0	0.644724011	-2.19869937	-0.034381628	-1.032957882	0.768237144
0	0.500396252	-0.8926842	0.300256848	-1.033354491	1.013457358
1	0.848786727	-1.574400589	0.719598293	-0.07702969	-2.045035273
0	0.198506624	-1.510677025	0.070725679	-0.809975773	-1.813631296
0	-0.116471589	-0.913452864	-0.01286459	-0.225468993	0.711362541
0	0.303368688	-0.637069196	0.03515029	-0.575572997	0.102681994
0	-0.097225308	-0.237449288	-0.485652924	0.381368518	0.167160034
0	0.649885535	-0.041457295	-0.373265743	-0.306780696	-0.13655901
0	0.216391325	-2.298992962	0.935659885	-0.46323815	-3.675941348
1	1.912577271	-0.066295922	-1.343804598	-0.325654536	-3.200573921
0	2.23447299	-1.218799233	-0.24517107	-2.019313693	-2.660791874
0	1.662213326	-2.330205262	0.643391252	-1.096339762	-2.59102416
0	1.084801435	-1.399062037	0.110289097	-2.080720961	0.360334277
0	0.614437103	-0.941382632	-0.492718935	-0.167800784	0.792497396
0	0.927123904	-1.164921552	-0.535774946	-0.308303222	0.028768778
0	0.457208872	-2.098334908	0.022135377	-0.94809562	0.093562841
1	-0.223475695	-4.215618342	0.618523598	-0.45692198	-0.593500927
0	0.726353526	-0.258844703	1.279114842	-0.843513496	0.235190965
0	1.128549635	-0.480220795	-0.206473827	-1.032192998	-0.210422829
0	1.013428211	0.03503406	2.244708598	-1.339833155	0.848211125
1	2.263764262	-1.933754623	0.008581161	-0.302104086	-1.454731539
0	-0.13724947	-0.384050131	0.50028801	-0.766233504	-0.470032573
0	0.263995528	-2.584205389	1.050336242	-0.54948616	-1.126076937
0	1.328109264	-2.874459296	1.506455779	-1.036555618	-0.029348984
0	2.829440475	-0.722140819	0.567887306	-1.350911349	0.028768033
0	1.667675972	-0.300607622	-0.398663282	-0.975174904	1.223604292
0	0.177485347	-0.146653175	1.665519118	-1.066888332	1.482037663
0	0.416652441	0.069245756	-0.525652885	-0.643125176	0.406282246
0	0.446471214	-1.512312055	1.727596521	-0.755475938	0.866304994
1	0.918054104	-2.122021034	0.686815739	-0.185519755	0.528141797
1	0.405840039	-2.523508728	-0.082713842	-0.510433853	1.374740541
0	0.683368564	-1.515085369	0.205434203	-1.052815408	0.669251621
0	-1.144164801	-0.414154738	0.113811731	0.420847327	1.201792538
0	0.290694237	-1.013224944	0.653227448	-0.231150389	0.96438092
0	0.63710618	-0.604395092	-0.313045859	-1.204220355	2.493490279
