label	NDUFAB1	SPINT1	MCM2	KIF11	S100A10
0	1.070276678	0.966391563	1.014567137	0.46815455	-0.486577272
0	0.292860925	0.030080855	0.868596166	0.371734023	-0.106749475
1	0.598898768	-0.018608689	-0.209631324	-0.134147048	-1.323709399
1	0.746128321	-0.055703759	1.636744499	0.657667637	0.681153178
0	-0.581110001	0.098404884	0.410629213	0.052767634	0.356632829
0	0.862415552	-0.003623605	0.335067093	0.24976027	0.082287788
0	0.659375668	-0.112438083	1.167268768	0.511906505	0.44308424
0	0.305644274	-0.052715421	0.981438473	0.512900352	0.418087721
0	-0.569346905	1.290317535	1.506042302	0.566389561	-0.616763353
1	0.830171943	-0.239880562	1.112104267	0.355584145	-0.296395421
1	0.763551831	2.383775711	0.469638884	-0.108396411	-2.769459531
0	-0.066480279	0.528869629	-0.035988152	0.063925862	-0.127536654
0	1.134850681	2.136569738	0.851704717	0.85243082	-0.187419653
1	0.698965311	1.328602433	1.693405002	-0.225059092	-0.655665815
0	0.797158122	1.619830132	1.274364665	1.218237415	-0.621941328
0	0.457284808	0.488614082	0.651267946	0.147506118	-0.497916132
0	0.202474713	0.424502134	1.534620792	0.424988627	-0.52492705
0	0.660807848	0.44295907	0.586713791	0.313361287	-0.450058162
0	-0.001927018	-0.51564455	0.809839725	0.393332124	-0.495492518
0	-0.590889812	1.097383261	0.252253532	0.586170197	-0.119121939
1	-0.255762041	-0.12753582	1.063528895	0.479133606	-0.518407255
0	0.434343696	1.346893072	0.402085543	0.335875869	-1.066490591
0	-1.345289111	0.958110094	1.021076903	0.531718373	-0.731140316
0	-0.248418838	-0.017037749	1.309491217	-0.046714783	0.623564839
0	0.247930408	-0.762839913	0.447364926	1.119275391	-0.673044205
0	-0.071105719	0.099260449	0.899287015	0.545779705	-1.162367702
0	-0.483243525	0.793986559	0.417457223	0.84035635	-0.865923464
1	0.738174796	0.997977883	0.947546914	0.619934678	-0.596379876
0	0.805112422	0.975767285	0.435884714	0.348493457	-0.282655597
0	0.343887687	1.185816944	1.131275892	0.507978559	0.692835033
0	0.39170146	1.920468688	1.044453442	0.819935799	-0.882410824
1	0.520846188	0.623153448	0.845298842	1.302956045	-0.192932487
0	0.482575893	1.108905673	0.68325448	0.417583466	-0.796499372
0	0.451215386	0.473888636	0.085363626	-0.146749377	-0.848072052
0	0.396206498	1.763270468	2.100829482	1.599118888	0.285920799
0	0.682159662	1.28275001	1.110169038	1.182643533	-1.038835645
0	0.85437987	1.685614467	1.380864888	0.834611058	-0.992495358
0	0.010824263	0.451611936	0.999773562	0.980320454	-0.602379203
0	0.061350346	0.149212837	0.951980531	0.129671812	-0.35596019
0	0.747309506	0.956894994	1.275398403	0.138301373	0.042853534
1	-0.139497757	0.355559707	0.132559836	0.148739696	-0.532581687
1	0.06579566	-0.161623478	0.489269972	-0.25878346	0.256161988
0	-0.323749185	0.655396104	0.984945983	0.047280192	-0.781600565
0	-0.165571094	-0.627897024	0.011376143	-0.05747366	0.953377545
0	-0.333217978	0.171621323	0.953730792	0.128136277	-0.365092114
0	0.386566401	2.032458425	0.616492152	-0.124676943	0.96465677
