label	KRT4	KRT20	LY6D	ANXA8L1	RHCG
0	-2.248289585	-1.948752522	-1.171398044	-0.045259476	0.13956365
1	-0.627152443	-0.529187546	-0.37169522	2.532719731	-0.289235845
0	-0.953782797	0.484157324	-0.392340064	1.226667285	0.096374273
1	-2.172538698	0.044549704	2.224143863	1.628082424	0.709414124
0	-0.371461242	-0.631992728	-0.212168872	-0.489374757	-0.070089817
0	0.223472178	-0.762030721	-0.088265419	-1.002132833	0.01008749
0	-1.761191532	-1.177266121	0.698834538	1.052832246	0.411028743
0	-1.061474204	-0.778913498	-0.534927249	-0.862154126	-1.049694538
1	0.96888715	-0.526405931	5.707835674	0.97854507	-0.807439327
0	0.439273804	0.306144983	-0.196647793	2.234890819	1.189493656
0	0.069790363	-0.161794931	0.843431354	0.605114579	1.174983978
1	-2.021119535	-0.207237601	0.783095121	1.916682124	-0.832694769
0	-1.626488954	-1.044278264	1.001653314	1.612902015	-1.877750933
0	-3.582060099	-4.086142957	-1.986380398	-1.315523326	-1.259682119
0	-2.18482399	-0.971361518	0.085757494	-1.009862155	-2.367955208
0	0.054764867	0.143065035	1.062721252	0.761079043	-0.216490388
0	-2.620278001	-2.603669524	-1.796984434	2.031324089	-1.318915725
1	0.052137911	-0.274934545	2.143043637	0.418230951	0.277847767
0	-0.432586372	0.546363592	2.505511522	0.863756269	-0.062595665
0	1.290563226	0.41378808	0.592794895	-0.227188826	0.450237066
0	-3.338381767	-3.962135509	1.46065855	1.197627783	-1.085685939
0	1.200040072	1.33773756	3.616656363	1.645368993	2.485260606
0	-0.72601819	-0.721945286	1.849000096	0.770945847	0.446971655
1	-0.115901619	-2.176809713	0.633918166	2.89149034	2.484997749
1	-1.748148382	0.019519687	2.384099245	1.974478066	-2.236422956
1	0.492860675	-1.563624918	0.449769735	1.124009967	-0.711202979
1	-1.469066441	0.341502666	1.625154138	1.713127851	-0.653161526
0	-1.947705448	-1.983719409	-1.239630073	-1.405285567	-3.334996641
1	-0.873693705	-0.031848073	2.179823637	0.844748527	-0.600796342
0	0.625733405	-1.379720926	-1.54173699	-0.419347048	-1.172385067
0	-0.766051769	0.149280548	-0.510571241	0.721207857	-1.300492048
1	-1.472057462	0.935411453	0.61149478	0.693423212	0.605730176
0	-0.089925617	-1.019284248	-0.908627272	0.449234664	-0.472202063
1	-0.662711263	0.183961868	1.48314786	2.035394847	-0.01006496
1	-0.79675293	-0.634422027	0.820643604	1.596078634	1.203173578
