label	CALML3	DSG3	SERPINB4	FABP5
1	1.340453863	1.342624426	1.887116671	0.848064899
1	1.019081831	1.4614048	-0.166443825	0.177256584
1	0.839386463	0.366604447	3.128442287	1.99115777
0	-1.197075188	-1.657413602	0.413874358	-0.883478761
0	0.288236856	-0.352874875	-0.205036908	-1.954063863
1	1.101002932	1.059557676	0.195170343	2.037683964
0	-1.893249989	0.426048517	1.241312563	0.611058712
0	-0.724660635	0.806874275	1.60436064	1.474720001
1	1.32157886	1.39477402	0.195974141	0.549748182
1	2.775104195	1.081878841	3.296761304	6.551000118
1	0.434770763	1.700033933	3.777880907	2.601190686
1	1.487055123	0.967748046	2.032237291	2.371650457
1	1.377083898	2.371924162	3.014682204	5.341288567
0	-0.133306742	-1.169141591	-0.542529553	-1.279578343
1	0.867273688	2.221120775	3.679253727	1.163659245
1	2.387022972	1.905450106	2.546434879	2.527027249
1	1.638022721	2.02156496	1.569285572	1.908186853
1	-0.61057508	0.154816091	2.157671034	-0.473052874
1	1.122909904	1.384138823	2.163787484	1.524040937
1	0.964416295	0.527861834	2.313893586	1.800727665
1	3.414238334	0.250195384	1.757111549	1.903748035
1	2.311029434	2.022496104	-0.03668651	2.103239119
0	-3.205113888	-2.260929883	-2.858861685	-1.824599385
0	-0.326393843	-0.532941461	1.358902693	0.196047544
0	-2.620266795	-0.911929697	-1.259673297	-1.122876436
0	-0.439815521	-0.317775011	0.57925868	-0.254309416
0	-1.673598528	-0.041139603	-1.899142981	-0.723935843
0	-2.205179811	0.244779587	-1.064633131	-2.001530111
0	0.381846428	1.21116519	0.530489087	2.290492564
0	-1.106877446	-0.262428761	0.105816364	-0.334471524
0	0.070786178	-1.428212717	-1.041116178	-0.448830128
0	-2.593458056	-1.209443212	0.515372515	-0.250860125
1	1.65175125	1.604264915	1.965155125	0.084743857
0	-1.024438947	-1.297131464	1.693470478	-0.060365543
1	0.996412516	2.802070618	2.232047856	2.940913528
0	0.626340747	-0.412802339	-0.42730853	-0.344747096
0	-3.068107843	-0.278241515	-1.047003046	-2.032959551
0	0.124309778	-0.025918961	-0.696179271	-0.648087233
0	-1.466030121	-0.685311794	-0.5763942	-1.175311446
1	0.708204031	0.991188765	3.084423065	2.629873335
0	2.293843746	0.095634609	-0.512161553	-0.424451947
0	0.428217411	-0.264776826	0.698658407	0.653366148
1	0.90111351	1.612497091	0.707707524	0.987647533
0	0.85259366	1.934806466	0.23050499	1.944675565
0	-2.608926654	-0.74237597	-1.234574199	-2.380898148
0	0.231130123	0.264504194	-1.781122521	-0.589455605
0	1.299421787	1.023282647	1.04011476	1.199277043
0	-0.725140736	-0.982160211	1.366678357	-0.440700531
1	2.407064885	0.55191803	1.877553225	1.883974135
0	2.104433268	1.68628788	2.952236563	2.405033797
0	-0.028070211	-0.507246256	0.168502271	0.096044034
0	-0.126095772	1.04515028	1.144091129	0.629454136
0	2.620271444	1.779273331	2.365661561	1.594822764
0	-0.112908363	0.113221765	0.018703461	0.632741451
1	3.288029671	1.085137546	2.310014755	3.842763484
1	1.715190887	1.279882908	1.691977501	2.537566185
1	0.944494724	0.082717061	-0.444535494	0.704918742
1	1.029135942	1.964669228	0.669344425	0.900256634
0	-3.573206007	-0.476208001	-1.506990343	-1.722329617
1	0.534077168	1.175967813	1.837423325	0.847518921
0	-2.275917009	-1.443200108	-0.383212328	-1.484603256
0	-1.170155764	-0.052042961	-0.170610189	0.760018349
1	2.086279273	1.491725802	0.280876279	1.078392506
0	0.839079022	-0.087209463	-0.319777489	-1.35101223
1	0.10211578	0.521040112	0.498624563	0.537208557
1	1.751827151	0.783881187	2.830023527	3.270741791
