label	A2ML1	SPRR2B	SERPINB5	PKP1	S100A14
1	-0.439174265	2.09771204	2.037196517	1.366835237	2.236418933
0	-0.853871047	-2.154346049	1.605320156	0.104940057	0.546203971
1	-0.134661913	-1.215102822	2.183895111	1.252581358	0.892075688
0	-0.61729607	-0.946532547	0.479128838	0.632944465	-0.693559319
0	-2.9436481	-1.947260804	-1.273663849	-0.64415741	-1.103407562
0	-1.359313071	-1.258525625	1.04730916	0.147083163	0.192321897
0	-1.570058823	-1.262845755	-0.710668594	-0.478830695	-0.68132019
1	1.537622571	1.287776828	2.460244179	0.958706617	1.793875456
0	-0.112520993	-0.896458983	1.671909064	0.655570209	0.092721701
0	0.921581805	0.063188672	0.44897604	0.672431827	-0.667724848
1	-0.358884454	1.983648062	1.645940244	2.013208985	-0.351959944
0	-0.510323167	1.839734554	1.434003353	2.389015913	0.154412985
0	-3.296974316	-3.139059708	-1.372364879	-1.094403863	-1.200562775
0	-0.986516356	-1.41732356	-0.565830588	-0.358501434	-0.791935444
0	0.350449324	0.476600885	0.762443006	1.073765874	0.336205602
0	-1.300673909	-0.766852736	1.797679603	1.621379256	1.476178885
1	1.828089833	2.434230715	1.365584739	1.621841788	1.292445838
0	0.54500097	1.719737947	1.896736443	2.367506921	1.08837378
0	-0.326116711	-0.059397221	-0.184240818	-0.330015242	0.626116931
0	-1.533872366	-3.721434236	0.815452516	1.640809298	0.027751923
0	1.810230911	-0.039341807	1.789284408	1.695512056	1.473748446
0	-0.403802872	-0.630370617	0.518986583	-0.311604023	0.4735291
1	1.234373182	1.525888562	2.530582666	2.325777113	2.961876661
1	-1.116447806	3.861295581	1.868591309	1.632135391	1.29264611
1	-1.385017097	-2.602385521	0.02742289	0.820649385	0.959617615
1	0.827540636	-1.867234349	1.444157898	1.49608326	-0.151400089
0	-1.675483227	-1.072552562	-1.414873302	-0.788323283	-1.387000799
1	-0.010904253	1.322675467	1.480647147	1.730998993	0.990120649
0	-0.846669555	-1.490204155	-0.951822221	-1.664008796	-0.584575176
0	-0.913758755	0.628674269	2.32283473	1.094519377	-1.014303684
1	0.833518267	-1.002629042	1.588255465	0.509962797	1.085091233
0	-0.213323593	-1.721084595	1.024190053	-0.042156219	1.767415762
1	-0.272036001	-1.730209559	1.285132766	0.577047944	2.978679895
1	-0.001510024	-1.9151842	1.726256251	1.980997503	3.848276377
