label	CLIC3	SPRR2D	SFN	S100A14
1	-0.195181429	-0.500374794	0.772562742	1.127040625
0	-1.285954639	-3.34874779	0.235700011	-0.644115448
0	-1.130349308	-0.775516868	0.790586829	0.047770023
1	-0.712985635	1.275014043	1.246452093	1.081137896
1	0.587533236	0.670366466	2.546575338	3.599804997
1	0.837006867	0.298607051	2.331899524	1.661855996
1	0.441491693	0.334625721	2.149779499	0.647395879
1	1.280651778	0.57227236	1.939265013	2.215591908
0	-1.254696071	-1.817957938	-0.185207307	-1.599740326
1	1.207246214	-0.118440866	1.549844116	1.481716216
1	-0.508959562	1.336201727	2.098931044	2.06574285
1	1.011118233	2.282634497	2.082354337	2.454967201
1	-0.411922783	-0.633370578	1.41959402	-0.820298582
1	0.380793631	1.491883278	1.288813353	1.717984915
1	-0.368806869	1.82938686	0.908878833	0.26951015
1	-0.347832799	-0.813788772	1.980955243	0.971306026
1	-0.778537154	-0.69755419	2.009723902	0.867920816
0	-1.691404343	-3.03133598	-1.29019928	-1.844853759
0	-1.342425361	-0.161917925	0.402288556	0.543936014
0	-1.069979995	-0.930370688	-0.851661026	-2.154752016
0	-0.229673564	-0.733809888	0.265455365	-0.285665035
0	-1.521578908	-2.77546382	0.404316187	-1.60533452
0	-1.382248223	-2.651014566	-0.281241298	-1.55967474
0	0.797682524	2.302135706	1.771300197	0.376101017
0	-1.459664315	-2.3439219	-0.155535936	0.301450729
0	0.267881215	-1.40164271	-0.303904399	-0.305382013
0	-0.829783887	-1.14231652	-0.196117163	-0.708778262
1	0.316918731	2.09771204	2.229964703	2.236418933
0	-0.859875083	-2.154346049	0.519681394	0.546203971
1	-0.710753888	-1.215102822	1.406152338	0.892075688
0	-0.9928011	-0.946532547	-0.056817621	-0.693559319
0	-1.758393526	-1.947260804	-1.064471483	-1.103407562
0	-0.317719698	-1.258525625	0.684954882	0.192321897
0	-1.220595628	-1.262845755	-0.71299243	-0.68132019
1	0.228488326	1.287776828	1.523272157	1.793875456
0	-0.518900692	-0.896458983	1.105039358	0.092721701
0	0.300196171	0.063188672	0.526872337	-0.667724848
1	-0.936262101	1.983648062	1.374692023	-0.351959944
0	-1.775227547	1.839734554	1.54832536	0.154412985
0	-2.808141306	-3.139059708	-1.058586657	-1.200562775
0	-1.93134737	-1.41732356	0.111250281	-0.791935444
0	0.281358421	0.476600885	0.423099995	0.336205602
0	-1.059668675	-0.766852736	1.762894481	1.476178885
1	-0.387273669	2.434230715	1.205795139	1.292445838
0	0.097294688	1.719737947	1.54114151	1.08837378
0	1.286926627	-0.059397221	-0.043048114	0.626116931
0	-2.917782128	-3.721434236	0.883332491	0.027751923
0	-0.391228199	-0.039341807	0.763042927	1.473748446
0	-0.138382196	-0.630370617	0.01051718	0.4735291
1	-0.167804152	1.525888562	2.100074261	2.961876661
1	-0.543618381	3.861295581	1.891909897	1.29264611
1	-1.246924609	-2.602385521	0.618128955	0.959617615
1	0.03130281	-1.867234349	1.128002644	-0.151400089
0	-1.904670894	-1.072552562	-0.601915061	-1.387000799
1	-0.613386363	1.322675467	1.206590742	0.990120649
0	-0.07835488	-1.490204155	-0.393315911	-0.584575176
0	-0.549355268	0.628674269	0.811410904	-1.014303684
1	-0.231444478	-1.002629042	0.953647971	1.085091233
0	-0.814092368	-1.721084595	-0.068879843	1.767415762
1	-0.451295361	-1.730209559	1.72582078	2.978679895
1	-0.646381699	-1.9151842	2.528450996	3.848276377
