label	A2ML1	CALML3	DSG3	SERPINB5	PKP3
1	0.61676842	3.414238334	0.250195384	2.513972282	1.3418957
1	2.042984009	2.311029434	2.022496104	2.749450088	1.917648792
0	-2.930451572	-3.205113888	-2.260929883	-1.770889103	-1.815006763
0	-1.996506989	-0.326393843	-0.532941461	0.016551197	0.55556345
0	-2.252101153	-2.620266795	-0.911929697	-0.185026824	-0.963370442
0	-0.928707719	-0.439815521	-0.317775011	-0.51033771	-0.315067887
0	-2.550850511	-1.673598528	-0.041139603	-1.106131703	-0.580783129
0	-2.808123022	-2.205179811	0.244779587	-0.391178489	-0.588377237
0	-0.568754673	0.381846428	1.21116519	2.121315658	1.351354301
0	-2.326507449	-1.106877446	-0.262428761	-0.20225805	-1.720214725
0	-1.103647351	0.070786178	-1.428212717	-0.003445804	-0.251877204
0	-2.780059934	-2.593458056	-1.209443212	0.288388073	-0.457167104
1	-0.439174265	1.65175125	1.604264915	2.037196517	1.977550894
0	-0.853871047	-1.024438947	-1.297131464	1.605320156	2.16186595
1	-0.134661913	0.996412516	2.802070618	2.183895111	0.964727163
0	-0.61729607	0.626340747	-0.412802339	0.479128838	-0.241349488
0	-2.9436481	-3.068107843	-0.278241515	-1.273663849	-1.457920492
0	-1.359313071	0.124309778	-0.025918961	1.04730916	0.426709712
0	-1.570058823	-1.466030121	-0.685311794	-0.710668594	-0.459258795
1	1.537622571	0.708204031	0.991188765	2.460244179	1.287573516
0	-0.112520993	2.293843746	0.095634609	1.671909064	0.625740886
0	0.921581805	0.428217411	-0.264776826	0.44897604	0.552831769
1	-0.358884454	0.90111351	1.612497091	1.645940244	1.354186475
0	-0.510323167	0.85259366	1.934806466	1.434003353	1.872441888
0	-3.296974316	-2.608926654	-0.74237597	-1.372364879	-1.573235631
0	-0.986516356	0.231130123	0.264504194	-0.565830588	-0.559641838
0	0.350449324	1.299421787	1.023282647	0.762443006	0.828682303
0	-1.300673909	-0.725140736	-0.982160211	1.797679603	1.243073225
1	1.828089833	2.407064885	0.55191803	1.365584739	-0.107215226
0	0.54500097	2.104433268	1.68628788	1.896736443	0.435288846
0	-0.326116711	-0.028070211	-0.507246256	-0.184240818	1.238859892
0	-1.533872366	-0.126095772	1.04515028	0.815452516	-0.620094538
0	1.810230911	2.620271444	1.779273331	1.789284408	1.011872172
0	-0.403802872	-0.112908363	0.113221765	0.518986583	-0.030809402
1	1.234373182	3.288029671	1.085137546	2.530582666	0.971230149
1	-1.116447806	1.715190887	1.279882908	1.868591309	1.158973813
1	-1.385017097	0.944494724	0.082717061	0.02742289	0.467270494
1	0.827540636	1.029135942	1.964669228	1.444157898	1.16556865
0	-1.675483227	-3.573206007	-0.476208001	-1.414873302	-0.242995054
1	-0.010904253	0.534077168	1.175967813	1.480647147	1.073952794
0	-0.846669555	-2.275917009	-1.443200108	-0.951822221	-0.663588077
0	-0.913758755	-1.170155764	-0.052042961	2.32283473	1.51626879
1	0.833518267	2.086279273	1.491725802	1.588255465	1.379456639
0	-0.213323593	0.839079022	-0.087209463	1.024190053	0.945155621
1	-0.272036001	0.10211578	0.521040112	1.285132766	1.502775788
1	-0.001510024	1.751827151	0.783881187	1.726256251	1.189278364
