label	KRT5	SDC1	CALML3	DSG3	RHCG
1	0.668713152	1.085584641	1.015352011	1.699789762	-0.475568056
0	0.647243857	0.144433677	-0.024215221	1.439425826	-0.118614912
0	-1.060837954	-0.867319673	0.028505445	-1.929889113	0.029901505
0	0.090468884	-0.231289506	1.352869391	0.115466714	0.434200406
1	2.218234777	1.822398603	2.743221402	2.137399077	0.932015061
1	1.778624058	1.398647338	2.220630109	0.960737288	0.777395487
1	0.479418993	0.43077004	1.340453863	1.342624426	0.940148234
1	-0.07262814	0.569860339	1.019081831	1.4614048	0.505316496
1	1.145460486	1.169328034	0.839386463	0.366604447	-0.238435984
0	-0.229305267	1.06751281	-1.197075188	-1.657413602	-1.137764335
0	0.345383286	0.35249567	0.288236856	-0.352874875	-1.340937227
1	0.04091692	1.078792572	1.101002932	1.059557676	0.933226347
0	0.001235008	0.994430542	-1.893249989	0.426048517	-2.499903515
0	-0.472730875	1.242321014	-0.724660635	0.806874275	-1.389596343
1	1.171289027	1.081583142	1.32157886	1.39477402	0.29523623
1	1.392767698	0.591847628	2.775104195	1.081878841	0.529772282
1	1.994297385	1.085324943	0.434770763	1.700033933	-0.042491555
1	1.896970451	0.168633163	1.487055123	0.967748046	-0.657662153
1	0.093870461	0.373159349	1.377083898	2.371924162	0.262784243
0	0.630253315	-0.382109821	-0.133306742	-1.169141591	0.900118828
1	1.021862864	0.405888319	0.867273688	2.221120775	0.791875601
1	1.340718031	0.727859855	2.387022972	1.905450106	1.230272532
1	3.128210008	0.195849061	1.638022721	2.02156496	0.172688246
1	0.433814168	0.14377594	-0.61057508	0.154816091	0.656892896
1	0.625161648	1.550688863	1.122909904	1.384138823	-0.214458942
1	1.481747031	1.235654265	0.964416295	0.527861834	-0.215576172
1	0.311428189	0.74626708	3.414238334	0.250195384	-1.729306936
1	1.032901525	0.999360085	2.311029434	2.022496104	-1.029198408
0	-1.828094333	-0.372186303	-3.205113888	-2.260929883	0.090681553
0	1.031489491	0.28953898	-0.326393843	-0.532941461	-2.116545618
0	-0.587995172	-0.351434171	-2.620266795	-0.911929697	-1.900087833
0	0.514061213	0.422898293	-0.439815521	-0.317775011	-0.746001959
0	-0.064645767	0.076745749	-1.673598528	-0.041139603	-1.22177279
0	0.216983557	-0.593476534	-2.205179811	0.244779587	-1.73747766
0	1.505114555	0.811104536	0.381846428	1.21116519	-0.699493766
0	1.253296375	0.595083952	-1.106877446	-0.262428761	-0.264314681
0	-1.152008578	0.152749062	0.070786178	-1.428212717	-0.611670911
0	-0.262181401	-0.743769169	-2.593458056	-1.209443212	0.13956365
1	0.526987433	0.64237237	1.65175125	1.604264915	-0.289235845
0	1.194742441	1.129547775	-1.024438947	-1.297131464	0.096374273
1	0.868270397	2.163978159	0.996412516	2.802070618	0.709414124
0	0.108946204	-0.859767109	0.626340747	-0.412802339	-0.070089817
0	0.589533329	-0.478612185	-3.068107843	-0.278241515	0.01008749
0	-0.423630714	0.618974447	0.124309778	-0.025918961	0.411028743
0	-0.522680759	0.602079988	-1.466030121	-0.685311794	-1.049694538
1	-0.617179632	-0.068176866	0.708204031	0.991188765	-0.807439327
0	1.236474931	-0.084237337	2.293843746	0.095634609	1.189493656
0	0.430756211	-0.380454302	0.428217411	-0.264776826	1.174983978
1	1.813992262	0.8986305	0.90111351	1.612497091	-0.832694769
0	1.664573908	1.074253201	0.85259366	1.934806466	-1.877750933
0	-2.108714163	-0.767903566	-2.608926654	-0.74237597	-1.259682119
0	0.32633996	0.427671671	0.231130123	0.264504194	-2.367955208
0	0.491040826	-0.1439358	1.299421787	1.023282647	-0.216490388
0	0.419439554	-2.01904881	-0.725140736	-0.982160211	-1.318915725
1	0.913865805	2.698659033	2.407064885	0.55191803	0.277847767
0	2.535763502	3.409190476	2.104433268	1.68628788	-0.062595665
0	-0.081285119	0.935688317	-0.028070211	-0.507246256	0.450237066
0	0.237315655	-0.508084059	-0.126095772	1.04515028	-1.085685939
0	1.732480466	1.944237471	2.620271444	1.779273331	2.485260606
0	0.709621906	1.200997531	-0.112908363	0.113221765	0.446971655
1	-0.699587464	2.321977496	3.288029671	1.085137546	2.484997749
1	1.360798001	1.65728724	1.715190887	1.279882908	-2.236422956
1	1.483751297	1.483864516	0.944494724	0.082717061	-0.711202979
1	1.13022542	0.716403246	1.029135942	1.964669228	-0.653161526
0	-0.432660639	-0.542131513	-3.573206007	-0.476208001	-3.334996641
1	1.255836606	1.018666387	0.534077168	1.175967813	-0.600796342
0	-1.186870396	0.110162258	-2.275917009	-1.443200108	-1.172385067
0	0.844480991	-2.928596258	-1.170155764	-0.052042961	-1.300492048
1	1.308549643	0.994649291	2.086279273	1.491725802	0.605730176
0	-1.126720905	0.65609169	0.839079022	-0.087209463	-0.472202063
1	2.817492127	0.116405874	0.10211578	0.521040112	-0.01006496
1	1.891393185	0.477809295	1.751827151	0.783881187	1.203173578
