	cancer~0	cancer~1	cancer~2	cancer~3	cancer~4	cancer~5	cancer~6	cancer~7	cancer~8	immune~0	immune~1	immune~2	immune~3	immune~4	immune~5	immune~6	immune~7	others~0	others~1	others~10	others~11	others~2	others~3	others~4	others~5	others~6	others~7	others~8	others~9
Set-04-9-N	0.027075579	0.0	0.068587895	0.08568285	0.022357604	0.042372491	0.0	0.0	0.0	0.0	0.047520430999999995	0.06186215	0.022524552000000003	0.051555875999999994	0.063362242	0.019767167	0.127374622	0.0	0.07975391400000001	0.0	0.023662918999999998	0.06183517400000001	0.0	0.0	0.14625901800000002	0.0	0.0	0.0	0.048445515999999994
Set-04-10-T	0.136533155	0.0	0.07067636	0.080670908	0.051314305	0.06874378	0.0	0.0	0.05348828	0.0	0.048932896	0.0	0.079647811	0.0	0.017644571	0.053927767	0.065774718	0.0	0.061903667999999995	0.0	0.040494255	0.07523692900000001	0.0	0.03016824	0.064842359	0.0	0.0	0.0	0.0
Set-05-1-N	0.089469659	0.0	0.044243998	0.024081737000000002	0.026386128	0.052041824	0.0	0.0	0.050500914	0.0	0.111673001	0.0	0.003429391	0.060442468	0.07717072	0.07890947599999999	0.078225595	0.0	0.047264499	0.0	0.010231789	0.079051292	0.0	0.016643899	0.051287624000000004	0.0	0.016260228	0.0	0.082685758
Set-05-2-T	0.12020772199999999	0.0	0.025853944	0.054738757	0.0020592229999999998	0.090635447	0.0	0.0	0.0	0.002149102	0.08922791699999999	0.010126241999999999	0.003935153	0.018511721999999998	0.078549307	0.002844326	0.047281265999999995	0.0	0.07480862	0.0	0.123915426	0.136804397	0.0	0.092186627	0.0	0.0	0.026164802	0.0	0.0
Set-05-3-N	0.046764494000000004	0.0	0.09841705199999999	0.05619877400000001	0.042937202	0.091190639	0.0	0.0	0.041887644	0.079867736	0.067007309	0.0	0.038868734	0.069619084	0.018259471	0.023414897	0.072600417	0.0	0.087427874	0.0	0.0	0.040006426	0.0	0.0	0.046261283	0.0	0.026216922	0.0	0.053054042
Set-05-4-T	0.154539136	0.0	0.0	0.0679986	0.0	0.06453452900000001	0.0	0.058947709	0.004297075	0.0	0.091420019	0.047160497	0.07924450400000001	0.030072104	0.0	0.028588781	0.020617925	0.0	0.072444828	0.0	0.057621543	0.108939066	0.0	0.019262756000000002	0.07594888400000001	0.0	0.0	0.0	0.018362043
Set-05-5-N	0.070609344	0.0	0.0	0.03831505	0.031126009	0.051875804000000005	0.0	0.0	0.06805391599999999	0.0	0.109891288	0.057581865999999995	0.06213490000000001	0.039866072999999995	0.0	0.063458723	0.041876826	0.0	0.051948212	0.0	0.10759976	0.059665009000000005	0.0	0.052465608	0.015821041	0.0	0.0	0.017476315	0.06023425599999999
Set-05-6-T	0.153021404	0.0	0.09707563400000001	0.045051157	0.009274203	0.062758493	0.0	0.0	0.050586839	0.021865974	0.06751660799999999	0.0	0.036068922999999996	0.015099088	0.043382709000000005	0.060235844000000004	0.074571624	0.0	0.09317502300000001	0.0	0.037885971000000004	0.08867561	0.0	0.001173112	0.042581783	0.0	0.0	0.0	0.0
Set-05-9-N	0.102218373	0.0	0.023175569	0.021743098	0.066382238	0.08521752099999999	0.0	0.0	0.006676166999999999	0.021060555	0.073646701	0.0	0.064278566	0.045309722999999996	0.07026302799999999	0.025402391	0.036475685	0.0	0.07398178400000001	0.0	0.073087768	0.099557899	0.0	0.011385569	0.040244493	0.0	0.024499621	0.0	0.035393252
Set-05-10-T	0.105447315	0.0	0.062715595	0.096878718	0.020793423000000002	0.091826683	0.0	0.0	0.03788909	0.0	0.055718819	0.049122028	0.051124112	0.014626235	0.0	0.058008598	0.11165645699999999	0.0	0.073575309	0.0	0.000862195	0.074843813	0.0	0.0	0.073529741	0.0	0.013905353999999998	0.0	0.007476516
